Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0135,,,,,,,,,,,,,,,,61,0.0044,0.0079,0.0101,0.6029,1.2082,2.6419,0.5986,1.2003,2.6318
1,Line,0.0253,,,,,,,,,,,,,,,,325,0.0207,-0.0143,0.0026,0.6236,1.1939,2.6445,0.6029,1.2082,2.6419
1,Line,0.0091,,,,,,,,,,,,,,,,61,0.0029,0.0054,0.0068,0.5154,1.2582,2.6373,0.5124,1.2529,2.6305
1,Line,0.0253,,,,,,,,,,,,,,,,333,0.0226,-0.0114,0.0002,0.5379,1.2469,2.6376,0.5154,1.2582,2.6373
1,Line,0.0253,,,,,,,,,,,,,,,,331,0.0221,-0.0121,0.0008,0.5601,1.2347,2.6384,0.5379,1.2469,2.6376
1,Line,0.0253,,,,,,,,,,,,,,,,329,0.0217,-0.0129,0.0014,0.5817,1.2218,2.6399,0.5601,1.2347,2.6384
1,Line,0.0106,,,,,,,,,,,,,,,,61,0.0034,0.0062,0.0079,0.5379,1.2469,2.6376,0.5345,1.2406,2.6296
1,Line,0.0253,,,,,,,,,,,,,,,,309,0.0159,-0.0195,0.0023,0.7507,1.0829,2.7052,0.7347,1.1024,2.7029
1,Line,0.0253,,,,,,,,,,,,,,,,316,0.0181,-0.0176,0.0011,0.7094,1.1147,2.7213,0.6912,1.1323,2.7202
1,Line,0.0135,,,,,,,,,,,,,,,,220,-0.0058,-0.0050,0.0112,0.6726,1.1492,2.7184,0.6784,1.1542,2.7072
1,Line,0.0129,,,,,,,,,,,,,,,,220,-0.0055,-0.0047,0.0106,0.6912,1.1323,2.7202,0.6968,1.1370,2.7096
1,Line,0.0119,,,,,,,,,,,,,,,,220,-0.0051,-0.0044,0.0098,0.7094,1.1147,2.7213,0.7145,1.1191,2.7115
1,Line,0.0253,,,,,,,,,,,,,,,,314,0.0176,-0.0181,0.0004,0.7269,1.0966,2.7216,0.7094,1.1147,2.7213
1,Line,0.0141,,,,,,,,,,,,,,,,220,-0.0061,-0.0052,0.0116,0.6339,1.1812,2.7127,0.6399,1.1864,2.7011
1,Line,0.0253,,,,,,,,,,,,,,,,321,0.0196,-0.0157,0.0032,0.6534,1.1656,2.7159,0.6339,1.1812,2.7127
1,Line,0.0253,,,,,,,,,,,,,,,,320,0.0191,-0.0163,0.0025,0.6726,1.1492,2.7184,0.6534,1.1656,2.7159
1,Line,0.0253,,,,,,,,,,,,,,,,318,0.0187,-0.0169,0.0018,0.6912,1.1323,2.7202,0.6726,1.1492,2.7184
1,Line,0.0140,,,,,,,,,,,,,,,,220,-0.0060,-0.0051,0.0115,0.6534,1.1656,2.7159,0.6595,1.1707,2.7044
1,Line,0.0106,,,,,,,,,,,,,,,,210,-0.0032,-0.0018,0.0100,0.5351,1.2525,2.6779,0.5383,1.2543,2.6679
1,Line,0.0253,,,,,,,,,,,,,,,,332,0.0218,-0.0115,0.0055,0.5569,1.2410,2.6834,0.5351,1.2525,2.6779
1,Line,0.0253,,,,,,,,,,,,,,,,330,0.0214,-0.0124,0.0051,0.5783,1.2286,2.6885,0.5569,1.2410,2.6834
1,Line,0.0253,,,,,,,,,,,,,,,,328,0.0210,-0.0132,0.0047,0.5993,1.2154,2.6932,0.5783,1.2286,2.6885
1,Line,0.0119,,,,,,,,,,,,,,,,210,-0.0036,-0.0020,0.0112,0.5569,1.2410,2.6834,0.5605,1.2431,2.6722
