Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0318,,,,,,,,,,,,,,,,25,0.0287,0.0136,0.0000,1.6545,0.9524,1.7973,1.6258,0.9388,1.7973
1,Line,0.0052,,,,,,,,,,,,,,,,294,0.0017,-0.0038,0.0032,1.6583,0.9439,1.8094,1.6566,0.9477,1.8062
1,Line,0.0316,,,,,,,,,,,,,,,,25,0.0286,0.0135,0.0000,1.6553,0.9506,1.8021,1.6268,0.9371,1.8021
1,Line,0.0052,,,,,,,,,,,,,,,,294,0.0008,-0.0018,0.0048,1.6553,0.9506,1.8021,1.6545,0.9524,1.7973
1,Line,0.0318,,,,,,,,,,,,,,,,25,0.0287,0.0136,0.0000,1.6545,0.9524,1.7870,1.6258,0.9388,1.7870
1,Line,0.0052,,,,,,,,,,,,,,,,114,-0.0003,0.0006,0.0052,1.6543,0.9530,1.7921,1.6545,0.9524,1.7870
1,Line,0.0318,,,,,,,,,,,,,,,,25,0.0288,0.0136,0.0000,1.6543,0.9530,1.7921,1.6255,0.9394,1.7921
1,Line,0.0052,,,,,,,,,,,,,,,,294,0.0003,-0.0006,0.0052,1.6545,0.9524,1.7973,1.6543,0.9530,1.7921
1,Line,0.0314,,,,,,,,,,,,,,,,25,0.0284,0.0134,0.0000,1.6566,0.9477,1.8062,1.6283,0.9343,1.8062
1,Line,0.0052,,,,,,,,,,,,,,,,294,0.0019,-0.0044,-0.0020,1.6664,0.9257,1.8094,1.6644,0.9301,1.8114
1,Line,0.0304,,,,,,,,,,,,,,,,25,0.0274,0.0130,0.0000,1.6623,0.9348,1.8121,1.6349,0.9218,1.8121
1,Line,0.0052,,,,,,,,,,,,,,,,294,0.0017,-0.0038,-0.0032,1.6681,0.9219,1.8062,1.6664,0.9257,1.8094
1,Line,0.0300,,,,,,,,,,,,,,,,25,0.0271,0.0128,0.0000,1.6644,0.9301,1.8114,1.6373,0.9173,1.8114
1,Line,0.0052,,,,,,,,,,,,,,,,294,0.0021,-0.0047,-0.0007,1.6644,0.9301,1.8114,1.6623,0.9348,1.8121
1,Line,0.0311,,,,,,,,,,,,,,,,25,0.0281,0.0133,0.0000,1.6583,0.9439,1.8094,1.6302,0.9306,1.8094
1,Line,0.0052,,,,,,,,,,,,,,,,294,0.0019,-0.0044,0.0020,1.6602,0.9395,1.8114,1.6583,0.9439,1.8094
1,Line,0.0307,,,,,,,,,,,,,,,,25,0.0278,0.0131,0.0000,1.6602,0.9395,1.8114,1.6325,0.9264,1.8114
1,Line,0.0052,,,,,,,,,,,,,,,,294,0.0021,-0.0047,0.0007,1.6623,0.9348,1.8121,1.6602,0.9395,1.8114
1,Line,0.0052,,,,,,,,,,,,,,,,293,0.0016,-0.0038,0.0032,2.2098,1.1725,1.8094,2.2082,1.1763,1.8062
1,Line,0.0690,,,,,,,,,,,,,,,,0,0.0384,0.0000,0.0573,1.5047,0.5675,1.8036,1.4663,0.5675,1.7462
1,Line,0.0690,,,,,,,,,,,,,,,,0,0.0384,0.0000,0.0573,1.5065,0.5616,1.8024,1.4681,0.5616,1.7450
1,Line,0.0690,,,,,,,,,,,,,,,,0,0.0384,0.0000,0.0573,1.4977,0.5766,1.8083,1.4593,0.5766,1.7509
1,Line,0.0690,,,,,,,,,,,,,,,,0,0.0384,0.0000,0.0573,1.5017,0.5726,1.8056,1.4633,0.5726,1.7483
1,Line,0.0690,,,,,,,,,,,,,,,,0,0.0384,0.0000,0.0573,1.5070,0.5553,1.8020,1.4686,0.5553,1.7447
1,Circle,,,,,,,,0.0018,2.4612,-0.1529,1.7921,0.0240,,,0.1509,0.0480,,,,,,,,,,
1,Line,0.0052,,,,,,,,,,,,,,,,67,0.0008,0.0018,-0.0048,2.4686,-0.1351,1.7973,2.4678,-0.1370,1.8021
1,Line,0.0690,,,,,,,,,,,,,,,,0,0.0384,0.0000,0.0573,1.5061,0.5492,1.8026,1.4677,0.5492,1.7453
1,Circle,,,,,,,,0.0018,2.2118,-0.0495,1.7921,0.0240,,,0.1509,0.0480,,,,,,,,,,
1,Line,0.0690,,,,,,,,,,,,,,,,0,0.0384,0.0000,0.0573,1.4929,0.5792,1.8114,1.4545,0.5792,1.7541
1,Line,0.0690,,,,,,,,,,,,,,,,0,0.0384,0.0000,0.0573,1.4671,0.5572,1.8287,1.4287,0.5572,1.7714
1,Line,0.0690,,,,,,,,,,,,,,,,0,0.0384,0.0000,0.0573,1.4680,0.5634,1.8281,1.4296,0.5634,1.7708
1,Line,0.0690,,,,,,,,,,,,,,,,0,0.0384,0.0000,0.0573,1.4694,0.5451,1.8272,1.4310,0.5451,1.7699
1,Line,0.0690,,,,,,,,,,,,,,,,0,0.0384,0.0000,0.0573,1.4676,0.5510,1.8284,1.4292,0.5510,1.7711
1,Line,0.0690,,,,,,,,,,,,,,,,0,0.0384,0.0000,0.0573,1.4702,0.5691,1.8267,1.4318,0.5691,1.7694
1,Line,0.0690,,,,,,,,,,,,,,,,0,0.0384,0.0000,0.0573,1.4826,0.5797,1.8183,1.4442,0.5797,1.7610
1,Line,0.0690,,,,,,,,,,,,,,,,0,0.0384,0.0000,0.0573,1.4878,0.5803,1.8149,1.4494,0.5803,1.7575
1,Line,0.0690,,,,,,,,,,,,,,,,0,0.0384,0.0000,0.0573,1.4735,0.5739,1.8245,1.4351,0.5739,1.7671
1,Line,0.0690,,,,,,,,,,,,,,,,0,0.0384,0.0000,0.0573,1.4777,0.5775,1.8216,1.4393,0.5775,1.7643
1,Line,0.0052,,,,,,,,,,,,,,,,247,-0.0003,-0.0006,0.0052,2.4536,-0.1713,1.7921,2.4538,-0.1707,1.7870
1,Line,0.0052,,,,,,,,,,,,,,,,67,0.0003,0.0006,0.0052,2.4538,-0.1707,1.7973,2.4536,-0.1713,1.7921
1,Line,0.0052,,,,,,,,,,,,,,,,247,-0.0012,-0.0029,0.0041,2.4546,-0.1689,1.7822,2.4558,-0.1659,1.7780
1,Line,0.0052,,,,,,,,,,,,,,,,247,-0.0008,-0.0018,0.0048,2.4538,-0.1707,1.7870,2.4546,-0.1689,1.7822
1,Line,0.0052,,,,,,,,,,,,,,,,67,0.0008,0.0018,0.0048,2.4546,-0.1689,1.8021,2.4538,-0.1707,1.7973
1,Line,0.0052,,,,,,,,,,,,,,,,67,0.0018,0.0044,0.0020,2.4592,-0.1577,1.8114,2.4574,-0.1621,1.8094
1,Line,0.0052,,,,,,,,,,,,,,,,67,0.0020,0.0048,0.0007,2.4612,-0.1529,1.8121,2.4592,-0.1577,1.8114
1,Line,0.0052,,,,,,,,,,,,,,,,67,0.0012,0.0029,0.0041,2.4558,-0.1659,1.8062,2.4546,-0.1689,1.8021
1,Line,0.0052,,,,,,,,,,,,,,,,67,0.0016,0.0038,0.0032,2.4574,-0.1621,1.8094,2.4558,-0.1659,1.8062
1,Line,0.0052,,,,,,,,,,,,,,,,247,-0.0016,-0.0038,0.0032,2.4558,-0.1659,1.7780,2.4574,-0.1621,1.7749
1,Line,0.0052,,,,,,,,,,,,,,,,247,-0.0008,-0.0018,-0.0048,2.4678,-0.1370,1.7822,2.4686,-0.1351,1.7870
1,Line,0.0052,,,,,,,,,,,,,,,,247,-0.0012,-0.0029,-0.0041,2.4666,-0.1399,1.7780,2.4678,-0.1370,1.7822
1,Line,0.0052,,,,,,,,,,,,,,,,67,0.0003,0.0006,-0.0052,2.4688,-0.1345,1.7921,2.4686,-0.1351,1.7973
1,Line,0.0052,,,,,,,,,,,,,,,,247,-0.0003,-0.0006,-0.0052,2.4686,-0.1351,1.7870,2.4688,-0.1345,1.7921
1,Line,0.0052,,,,,,,,,,,,,,,,247,-0.0016,-0.0038,-0.0032,2.4650,-0.1437,1.7749,2.4666,-0.1399,1.7780
1,Line,0.0052,,,,,,,,,,,,,,,,247,-0.0020,-0.0048,0.0007,2.4592,-0.1577,1.7729,2.4612,-0.1529,1.7722
