,1454.5729,2001.771,760.5483,,,,,,,,,,,,,,,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,46.4077,,,,,,,,,,,,,,,,95,-4.0613,44.7611,11.2146,1483.2552,2309.3981,862.441,1487.3164,2264.637,851.2263
1,Line,46.2356,,,,,,,,,,,,,,,,96,-5.3466,45.8378,0.5363,1477.9085,2309.4742,859.4212,1483.2552,2263.6364,858.8849
1,Line,45.4317,,,,,,,,,,,,,,,,97,5.3574,-45.0036,-1.5912,1487.3164,2264.637,851.2263,1481.959,2309.6406,852.8176
1,Line,44.9138,,,,,,,,,,,,,,,,91,-0.6454,44.4494,5.8028,1481.9819,2309.6416,852.7804,1482.6273,2265.1922,846.9776
1,Line,44.9728,,,,,,,,,,,,,,,,90,-0.0228,44.7523,3.5149,1481.959,2309.6406,852.8176,1481.9819,2264.8884,849.3026
1,Line,47.4152,,,,,,,,,,,,,,,,83,-5.2352,-46.2088,-8.7964,1470.0111,2262.9188,864.3773,1475.2462,2309.1276,873.1737
1,Line,46.7487,,,,,,,,,,,,,,,,92,-2.0399,46.2917,5.5093,1467.9711,2309.2105,869.8866,1470.0111,2262.9188,864.3773
1,Line,47.8467,,,,,,,,,,,,,,,,98,-6.6298,45.831,11.6882,1475.2462,2309.1276,873.1737,1481.8761,2263.2967,861.4855
1,Line,45.8565,,,,,,,,,,,,,,,,92,-1.3544,45.3908,5.7397,1476.5542,2309.4186,861.6292,1477.9085,2264.0278,855.8896
1,Line,46.5126,,,,,,,,,,,,,,,,96,5.3219,-46.1219,-0.1438,1481.8761,2263.2967,861.4855,1476.5542,2309.4186,861.6292
1,Line,46.7487,,,,,,,,,,,,,,,,93,-2.0399,45.4622,10.3178,1467.9711,2262.6715,866.2701,1470.0111,2217.2093,855.9523
1,Line,47.7172,,,,,,,,,,,,,,,,83,5.1768,45.1473,14.2679,1473.1479,2261.9129,872.0768,1467.9711,2216.7655,857.8089
1,Line,47.4152,,,,,,,,,,,,,,,,83,-5.2352,-45.0362,-13.5782,1470.0111,2217.2093,855.9523,1475.2462,2262.2455,869.5305
1,Line,46.5126,,,,,,,,,,,,,,,,97,5.3219,-45.8542,-4.9639,1481.8761,2217.8874,853.1158,1476.5542,2263.7416,858.0797
1,Line,47.8467,,,,,,,,,,,,,,,,99,-6.6298,44.3581,16.4147,1475.2462,2262.2455,869.5305,1481.8761,2217.8874,853.1158
1,Line,48.7477,,,,,,,,,,,,,,,,84,4.403,45.3116,17.1796,1462.86,2260.8758,880.0142,1458.457,2215.5642,862.8346
1,Line,49.2453,,,,,,,,,,,,,,,,100,-8.2871,46.8648,12.3065,1454.5729,2260.4078,883.5965,1462.86,2213.543,871.29
1,Line,47.3267,,,,,,,,,,,,,,,,93,-2.6231,46.1067,9.9449,1458.457,2262.0021,871.3939,1461.0801,2215.8954,861.449
1,Line,48.5846,,,,,,,,,,,,,,,,99,-7.3642,45.7665,14.254,1465.7837,2261.1705,877.7585,1473.1479,2215.4041,863.5044
1,Line,48.4408,,,,,,,,,,,,,,,,84,-4.7036,-45.2751,-16.3095,1461.0801,2215.8954,861.449,1465.7837,2261.1705,877.7585
1,Line,45.2538,,,,,,,,,,,,,,,,98,-6.0118,44.3145,6.371,1482.6273,2265.1922,846.9776,1488.639,2220.8776,840.6066
1,Line,44.9138,,,,,,,,,,,,,,,,91,-0.6454,43.5994,10.4171,1481.9819,2264.8884,849.3026,1482.6273,2221.289,838.8855
1,Line,41.0105,,,,,,,,,,,,,,,,98,5.886,-40.3895,-3.1386,1445.4525,2270.3055,807.8407,1439.5665,2310.695,810.9793
1,Line,49.6256,,,,,,,,,,,,,,,,89,-0.6485,-47.1442,-15.1869,1441.861,2261.5604,874.7749,1442.5095,2308.7046,889.9618
1,Line,47.7219,,,,,,,,,,,,,,,,93,-2.2945,47.4331,3.7243,1439.5665,2308.9934,878.4992,1441.861,2261.5604,874.7749
1,Line,46.2356,,,,,,,,,,,,,,,,97,-5.3466,45.5306,5.3246,1477.9085,2264.0278,855.8896,1483.2552,2218.4972,850.565
1,Line,45.8565,,,,,,,,,,,,,,,,92,-1.3544,44.5422,10.4527,1476.5542,2263.7416,858.0797,1477.9085,2219.1995,847.627
1,Line,46.4077,,,,,,,,,,,,,,,,95,-4.0613,43.3436,15.8319,1483.2552,2263.6364,858.8849,1487.3164,2220.2928,843.053
1,Line,44.9728,,,,,,,,,,,,,,,,90,-0.0228,44.1397,8.1735,1481.959,2264.8836,849.3395,1481.9819,2220.7439,841.1661
1,Line,45.4317,,,,,,,,,,,,,,,,97,5.3574,-44.5907,-6.2866,1487.3164,2220.2928,843.053,1481.959,2264.8836,849.3395
1,Line,45.2538,,,,,,,,,,,,,,,,98,-6.0118,44.7377,1.7041,1482.6273,2309.7006,850.4363,1488.639,2264.9629,848.7323
1,Line,49.6256,,,,,,,,,,,,,,,,90,-0.6485,46.2499,-17.7245,1441.861,2403.7178,870.9123,1442.5095,2357.4679,888.6368
1,Line,47.7219,,,,,,,,,,,,,,,,93,-2.2945,47.1709,-6.2187,1439.5665,2403.7248,870.9499,1441.861,2356.5539,877.1687
1,Line,49.6404,,,,,,,,,,,,,,,,100,-8.9807,48.4581,-5.1547,1442.5095,2405.8255,882.2221,1451.4902,2357.3674,887.3768
1,Line,47.6246,,,,,,,,,,,,,,,,93,-2.5378,47.1392,-5.5894,1448.9199,2403.5818,870.1827,1451.4577,2356.4426,875.7721
1,Line,49.4671,,,,,,,,,,,,,,,,93,2.5703,-46.2144,17.1942,1451.4902,2357.3674,887.3768,1448.9199,2403.5818,870.1827
1,Line,44.9728,,,,,,,,,,,,,,,,90,-0.0228,44.8745,-1.1821,1481.959,2354.5161,851.5983,1481.9819,2309.6416,852.7804
1,Line,45.4317,,,,,,,,,,,,,,,,97,5.3574,-44.9234,3.1215,1487.3164,2309.5927,854.7198,1481.959,2354.5161,851.5983
1,Line,44.9138,,,,,,,,,,,,,,,,91,-0.6454,44.8125,1.1248,1481.9819,2354.5131,851.5612,1482.6273,2309.7006,850.4363
1,Line,41.0105,,,,,,,,,,,,,,,,98,5.886,-40.1594,5.3272,1445.4525,2351.1913,809.879,1439.5665,2391.3507,804.5518
1,Line,45.2538,,,,,,,,,,,,,,,,97,-6.0118,44.6708,-2.9815,1482.6273,2354.3269,849.2238,1488.639,2309.6561,852.2053
