Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,36.9365,,,,,,,85,-3.5366,-36.7392,1.4241,-294.1929,3106.3427,1774.9076,-290.6563,3143.0819,1773.4834
1,Line,121.3230,,,,,,,83,-15.0483,-120.1865,-6.9299,-507.0483,2061.1348,1388.9082,-492.0000,2181.3213,1395.8381
1,Line,1.0957,,,,,,,120,0.5390,-0.9525,0.0518,-15.0000,3657.6389,1859.2326,-15.5390,3658.5914,1859.1808
1,Line,37.8374,,,,,,,66,-15.4808,-34.4675,-2.0010,203.0014,255.0067,1522.7958,218.4821,289.4742,1524.7968
1,Line,516.4722,,,,,,,90,0.0000,48.6711,514.1737,46.0000,4295.8564,2341.3304,46.0000,4247.1853,1827.1567
1,Line,20.5749,,,,,,,82,2.9647,19.8889,4.3553,316.4319,640.6353,1640.7466,313.4672,620.7463,1636.3914
1,Line,149.7299,,,,,,,31,-118.3013,-69.7814,59.6188,138.0000,741.4793,1811.6309,256.3013,811.2607,1752.0121
1,Line,207.8804,,,,,,,96,23.0000,-206.5463,4.8871,23.0000,4375.7316,1822.2697,0.0000,4582.2779,1817.3826
1,Line,572.3342,,,,,,,95,-23.0000,248.1683,515.2183,23.0000,4495.3537,2342.3750,46.0000,4247.1853,1827.1567
1,Line,200.8214,,,,,,,97,-23.0000,199.4973,1.0446,23.0000,4495.3537,2342.3750,46.0000,4295.8564,2341.3304
1,Line,70.9308,,,,,,,64,30.5191,62.6932,13.0128,286.8204,873.9539,1765.0249,256.3013,811.2607,1752.0121
1,Line,5.6102,,,,,,,5,3.1353,0.2678,-4.6447,229.7288,349.2702,1552.4154,226.5935,349.0024,1557.0601
1,Line,251.0199,,,,,,,42,185.0000,167.8563,24.7034,753.0000,1564.8280,1421.3927,568.0000,1396.9717,1396.6892
1,Line,230.8008,,,,,,,37,185.0000,137.7712,7.9438,753.0000,1534.7429,1404.6331,568.0000,1396.9717,1396.6892
1,Line,204.6195,,,,,,,42,-148.8204,-132.4746,46.6060,138.0000,741.4793,1811.6309,286.8204,873.9539,1765.0249
1,Line,27.0000,,,,,,,90,0.0000,0.0000,-27.0000,5.0000,4592.9726,1530.3690,5.0000,4592.9726,1557.3690
1,Line,199.0000,,,,,,,90,0.0000,198.6700,11.4552,-430.0000,1492.3305,1341.0863,-430.0000,1293.6605,1329.6310
1,Line,157.5867,,,,,,,96,16.9361,-153.4311,-31.7116,-239.3652,657.8297,1720.3005,-256.3013,811.2607,1752.0121
1,Line,216.0018,,,,,,,81,34.1030,212.1627,-21.9264,-180.8970,1697.4496,1979.8500,-215.0000,1485.2869,2001.7764
1,Line,77.0000,,,,,,,0,77.0000,0.0000,0.0000,-415.0000,1814.7949,1359.6795,-492.0000,1814.7949,1359.6795
1,Line,119.8678,,,,,,,90,0.0000,-12.9119,119.1704,10.0000,740.1667,1276.6092,10.0000,753.0786,1157.4388
1,Line,43.1393,,,,,,,90,0.0000,28.1658,32.6755,-286.8204,873.9539,1765.0249,-286.8204,845.7882,1732.3494
1,Line,320.0126,,,,,,,86,20.3355,318.8946,-17.3424,-200.0000,3603.4702,1816.4001,-220.3355,3284.5756,1833.7425
1,Line,114.5557,,,,,,,90,0.0000,-114.3657,-6.5943,-753.0000,1699.5657,1368.0603,-753.0000,1813.9315,1374.6546
1,Line,17.3725,,,,,,,90,0.0000,1.0000,-17.3437,-338.0000,2658.5608,1666.0036,-338.0000,2657.5608,1683.3473
1,Line,32.1634,,,,,,,90,0.0000,-31.8425,-4.5318,-369.0000,993.2883,1717.9708,-369.0000,1025.1309,1722.5026
1,Line,2.6521,,,,,,,75,-0.6354,-2.3613,-1.0268,293.9172,528.7401,1605.7482,294.5526,531.1014,1606.7750
1,Line,52.5247,,,,,,,114,-21.5057,47.8408,2.7585,-175.5057,197.0643,1463.3618,-154.0000,149.2235,1460.6033
1,Line,54.9181,,,,,,,2,-46.0000,-1.7269,29.9503,-538.0000,1813.0680,1389.6297,-492.0000,1814.7949,1359.6795
1,Line,457.5222,,,,,,,85,-43.8071,-455.0784,17.6402,-338.0000,2651.2643,1792.5478,-294.1929,3106.3427,1774.9076
1,Line,4.7885,,,,,,,178,3.9843,-0.1529,2.6518,-365.0157,1466.5616,1788.0002,-369.0000,1466.7145,1785.3484
1,Line,84.4918,,,,,,,90,0.0000,-84.3517,-4.8637,-369.0000,1466.7145,1785.3484,-369.0000,1551.0663,1790.2121
1,Line,460.9158,,,,,,,84,45.4410,449.3284,92.1008,-315.5155,1467.3412,1842.2732,-360.9565,1018.0128,1750.1725
1,Line,74.2073,,,,,,,101,14.2005,-72.8339,0.5418,-341.5637,1325.9941,1786.3951,-355.7641,1398.8280,1785.8534
1,Line,8.3212,,,,,,,95,-0.7871,8.2693,0.4916,-356.5512,1407.0973,1786.3449,-355.7641,1398.8280,1785.8534
1,Line,30.0000,,,,,,,180,-30.0000,0.0000,0.0000,-15.0000,945.7905,1994.4732,15.0000,945.7905,1994.4732
