Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,2.4236,,,,,,169,0.0057,-0.5030,0.1378,-5646.2718,2171.2441,96.5675,-5646.2775,2171.7471,96.4297
1,Line,,,,,,,,,,,1.5869,,,,,,135,-0.0489,-0.0743,-1.5281,-5645.9684,2171.1866,90.9536,-5645.9195,2171.2610,92.4817
1,Line,,,,,,,,,,,2.4292,,,,,,8,-0.1622,0.4546,-0.7145,-5645.9195,2171.2610,92.4817,-5645.7573,2170.8063,93.1963
1,Line,,,,,,,,,,,2.9550,,,,,,152,-0.1730,-0.5859,0.3136,-5645.9430,2171.6988,92.3380,-5645.7700,2172.2847,92.0244
1,Line,,,,,,,,,,,1.5406,,,,,,77,-0.3087,0.0079,0.4088,-5647.5470,2171.1724,76.9321,-5647.2383,2171.1645,76.5233
1,Line,,,,,,,,,,,0.9299,,,,,,162,-0.0126,-0.1129,0.7524,-5647.7879,2171.3152,77.5778,-5647.7753,2171.4281,76.8254
1,Line,,,,,,,,,,,2.0344,,,,,,163,-0.0329,-0.3924,-0.7422,-5647.7753,2171.4281,76.8254,-5647.7425,2171.8205,77.5677
1,Line,,,,,,,,,,,0.9297,,,,,,172,0.0087,-0.1210,0.7240,-5647.2383,2171.1645,76.5233,-5647.2470,2171.2854,75.7993
1,Line,,,,,,,,,,,1.5042,,,,,,72,0.2932,-0.0284,-0.5057,-5647.2470,2171.2854,75.7993,-5647.5401,2171.3139,76.3050
1,Line,,,,,,,,,,,0.9259,,,,,,165,0.0069,0.1415,-0.6271,-5647.5401,2171.3139,76.3050,-5647.5470,2171.1724,76.9321
1,Line,,,,,,,,,,,1.1344,,,,,,162,0.0115,0.1180,-0.9807,-5647.7425,2171.8205,77.5677,-5647.7539,2171.7025,78.5484
1,Line,,,,,,,,,,,2.6685,,,,,,78,0.5548,-0.0005,-0.0313,-5645.5607,2172.0704,73.4416,-5646.1154,2172.0709,73.4729
1,Line,,,,,,,,,,,4.5023,,,,,,164,0.0591,0.8330,2.0341,-5646.1154,2172.0709,73.4729,-5646.1745,2171.2379,71.4388
1,Line,,,,,,,,,,,3.1903,,,,,,163,-0.0192,-0.2264,-2.9972,-5645.5798,2171.8440,70.4444,-5645.5607,2172.0704,73.4416
1,Line,,,,,,,,,,,2.1071,,,,,,163,0.0340,0.3874,0.9705,-5647.7539,2171.7025,78.5484,-5647.7879,2171.3152,77.5778
1,Line,,,,,,,,,,,0.2354,,,,,,77,0.0153,-0.0002,0.2235,-5646.3023,2174.6311,43.8516,-5646.3176,2174.6313,43.6281
1,Line,,,,,,,,,,,5.8085,,,,,,166,0.0457,1.2062,-0.1856,-5646.3176,2174.6313,43.6281,-5646.3633,2173.4251,43.8137
1,Line,,,,,,,,,,,1.9432,,,,,,149,-0.1239,-0.3516,-0.7490,-5647.0491,2171.4969,77.1466,-5646.9253,2171.8485,77.8956
1,Line,,,,,,,,,,,1.0483,,,,,,95,-0.1946,-0.0585,-0.3788,-5645.8911,2170.5786,91.1583,-5645.6965,2170.6371,91.5371
1,Line,,,,,,,,,,,0.4974,,,,,,121,0.0550,0.0515,0.3407,-5645.6205,2170.5369,91.5544,-5645.6755,2170.4854,91.2137
1,Line,,,,,,,,,,,0.8257,,,,,,167,-0.0012,-0.0777,0.7361,-5647.4922,2171.9691,78.8321,-5647.4910,2172.0469,78.0960
1,Line,,,,,,,,,,,1.8990,,,,,,171,0.0186,-0.3943,-0.0299,-5645.9430,2171.6988,92.3380,-5645.9616,2172.0932,92.3679
1,Line,,,,,,,,,,,0.8161,,,,,,25,-0.0101,0.0134,0.8121,-5645.9531,2171.7122,93.1501,-5645.9430,2171.6988,92.3380
1,Line,,,,,,,,,,,1.1311,,,,,,55,0.2156,-0.0932,0.0553,-5645.6755,2170.4854,91.2137,-5645.8911,2170.5786,91.1583
1,Line,,,,,,,,,,,2.8252,,,,,,67,-0.5514,0.1118,0.8120,-5647.4910,2172.0469,78.0960,-5646.9396,2171.9351,77.2840
1,Line,,,,,,,,,,,0.7431,,,,,,177,0.0143,-0.0866,0.6116,-5646.9253,2171.8485,77.8956,-5646.9396,2171.9351,77.2840
