Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.5988,,,,,,,,,,,,,,269,-0.0120,-0.5528,-0.2298,-6.5230,36.8470,5.0376,-6.5110,37.3998,5.2675
1,Line,2.9548,,,,,,,,,,,,,,89,0.0066,0.6150,2.8901,-6.5027,37.0910,9.7362,-6.5093,36.4760,6.8461
1,Line,0.1729,,,,,,,,,,,,,,359,0.1729,-0.0039,-0.0004,-6.3208,36.8433,10.3618,-6.4936,36.8472,10.3622
1,Line,0.1892,,,,,,,,,,,,,,273,0.0034,-0.0693,-0.1760,-6.3772,36.2710,9.5264,-6.3805,36.3403,9.7024
1,Line,0.0471,,,,,,,,,,,,,,306,0.0055,-0.0076,-0.0461,-6.3805,36.3403,9.7024,-6.3860,36.3479,9.7485
1,Line,1.4459,,,,,,,,,,,,,,266,-0.0975,-1.3792,-0.4230,-6.6329,34.8953,4.3767,-6.5354,36.2746,4.7996
1,Line,0.0372,,,,,,,,,,,,,,265,-0.0028,-0.0304,-0.0212,-6.3302,36.6236,10.2084,-6.3274,36.6540,10.2297
1,Line,0.1172,,,,,,,,,,,,,,269,-0.0018,-0.0961,-0.0671,-6.3225,36.7472,10.2947,-6.3208,36.8433,10.3618
1,3D Polyline,9.7867,,,,,,,,,,,,,,,,,,,,,,,
1,Line,1.4461,,,,,,,,,,,,,,87,0.0680,1.3810,0.4234,-6.3284,36.2028,4.8030,-6.3964,34.8218,4.3796
1,Line,1.1858,,,,,,,,,,,,,,269,-0.0121,-0.6527,-0.9899,-6.5228,35.9908,5.8408,-6.5106,36.6435,6.8308
1,3D Polyline,0.0447,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0.0516,,,,,,,,,,,,,,66,0.0209,0.0471,-0.0012,-6.3772,36.2710,9.5264,-6.3981,36.2239,9.5276
1,Line,1.0170,,,,,,,,,,,,,,184,-0.0026,-0.0002,-1.0170,-6.4957,38.2569,5.6658,-6.4931,38.2570,6.6827
1,Line,2.9526,,,,,,,,,,,,,,270,-0.0005,-0.7926,-2.8443,-6.4848,35.9025,6.8986,-6.4843,36.6951,9.7429
1,Line,2.9421,,,,,,,,,,,,,,112,-0.0726,0.1756,2.9359,-6.3340,37.1571,9.7346,-6.2614,36.9814,6.7986
1,Line,0.3017,,,,,,,,,,,,,,267,-0.0015,-0.0335,-0.2998,-6.4571,38.8316,4.8641,-6.4556,38.8650,5.1639
1,Line,0.7935,,,,,,,,,,,,,,270,-0.0011,-0.6656,-0.4319,-6.5028,34.5956,5.4652,-6.5018,35.2612,5.8971
1,Line,0.7598,,,,,,,,,,,,,,269,-0.0171,-0.7388,-0.1768,-6.3498,33.2741,5.3288,-6.3328,34.0129,5.5055
1,Line,1.3422,,,,,,,,,,,,,,265,-0.1204,-1.2626,-0.4390,-6.6812,33.3695,4.4552,-6.5607,34.6321,4.8942
1,Line,0.7570,,,,,,,,,,,,,,269,-0.0169,-0.7320,-0.1921,-6.3052,33.6848,5.2847,-6.2883,34.4168,5.4769
1,Line,2.9679,,,,,,,,,,,,,,275,0.0798,-0.9091,-2.8241,-6.2569,35.6512,6.9206,-6.3367,36.5603,9.7448
1,Line,1.2451,,,,,,,,,,,,,,89,0.0141,0.7606,0.9856,-6.2343,36.3596,6.8555,-6.2484,35.5990,5.8699
1,Line,0.1435,,,,,,,,,,,,,,271,0.0004,-0.0403,-0.1377,-6.4229,36.3264,9.6106,-6.4233,36.3666,9.7483
1,Line,1.0639,,,,,,,,,,,,,,268,-0.0101,-0.3376,-1.0088,-6.5193,36.6805,5.7876,-6.5092,37.0181,6.7964
1,Line,1.2724,,,,,,,,,,,,,,88,0.0375,1.2429,0.2696,-6.3136,33.5785,5.2950,-6.3510,32.3356,5.0254
1,Line,1.1894,,,,,,,,,,,,,,268,-0.0169,-0.6413,-1.0015,-6.5018,35.2612,5.8971,-6.4848,35.9025,6.8986
1,Line,2.9588,,,,,,,,,,,,,,276,0.0847,-0.8345,-2.8374,-6.2441,35.8112,6.9059,-6.3288,36.6457,9.7433
1,Line,0.5097,,,,,,,,,,,,,,268,-0.0065,-0.2378,-0.4508,-6.5222,36.7101,5.3162,-6.5157,36.9479,5.7669
1,Line,0.8464,,,,,,,,,,,,,,88,0.0267,0.7297,0.4280,-6.2616,35.1465,5.9049,-6.2883,34.4168,5.4769
