Count,Name,Length,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.1464,,,,,,,,,,,,,,8,0.0014,0.0139,0.0150,2.1532,2.5784,0.8137,2.1500,2.5461,0.7789
1,Line,0.1483,,,,,,,,,,,,,,8,0.0014,0.0144,-0.0090,2.1532,2.6075,0.8369,2.1500,2.5741,0.8578
1,Line,0.0507,,,,,,,,,,,,,,107,-0.0014,0.0000,0.0210,2.1500,2.6075,0.8857,2.1532,2.6075,0.8369
1,Line,0.1461,,,,,,,,,,,,,,13,0.0000,0.0121,-0.0340,2.1500,2.6690,0.7789,2.1500,2.6409,0.8578
1,Line,0.0498,,,,,,,,,,,,,,157,-0.0014,-0.0018,0.0190,2.1500,2.5741,0.8578,2.1532,2.5784,0.8137
1,Line,0.1488,,,,,,,,,,,,,,13,0.0000,0.0144,-0.0120,2.1500,2.6409,0.8578,2.1500,2.6075,0.8857
1,Line,0.0519,,,,,,,,,,,,,,176,-0.0014,-0.0046,-0.0080,2.1506,2.5270,0.3776,2.1537,2.5376,0.3962
1,Line,0.1420,,,,,,,,,,,,,,13,0.0000,0.0027,0.0600,2.1506,2.5270,0.6583,2.1506,2.5206,0.5191
1,Line,0.1443,,,,,,,,,,,,,,13,0.0000,-0.0027,0.0610,2.1506,2.5206,0.5191,2.1506,2.5270,0.3776
1,Line,0.1441,,,,,,,,,,,,,,159,0.0014,0.0023,0.0610,2.1537,2.5323,0.5191,2.1506,2.5270,0.3776
1,Line,0.1424,,,,,,,,,,,,,,2,0.0014,0.0073,0.0520,2.1537,2.5376,0.6397,2.1506,2.5206,0.5191
1,Line,0.1469,,,,,,,,,,,,,,6,0.0014,0.0116,0.0370,2.1537,2.5540,0.7441,2.1506,2.5270,0.6583
1,Line,0.0519,,,,,,,,,,,,,,177,-0.0014,-0.0046,0.0080,2.1506,2.5270,0.6583,2.1537,2.5376,0.6397
1,Line,0.0529,,,,,,,,,,,,,,178,-0.0014,-0.0050,0.0000,2.1506,2.5206,0.5191,2.1537,2.5323,0.5191
1,Line,0.1468,,,,,,,,,,,,,,15,-0.0002,0.0082,0.0520,2.1500,2.5461,0.7789,2.1506,2.5270,0.6583
1,Line,0.1268,,,,,,,,,,,,,,13,0.0000,0.0071,0.0450,2.1537,2.5540,0.7441,2.1537,2.5376,0.6397
1,Line,0.1236,,,,,,,,,,,,,,13,0.0000,-0.0068,-0.0440,2.1532,2.6610,0.2941,2.1532,2.6769,0.3962
1,Line,0.1284,,,,,,,,,,,,,,177,-0.0027,-0.0096,-0.0340,2.1469,2.6547,0.3173,2.1532,2.6769,0.3962
1,Line,0.1378,,,,,,,,,,,,,,148,-0.0048,-0.0050,-0.0510,2.1389,2.5625,0.0598,2.1500,2.5741,0.1781
1,Line,0.2194,,,,,,,,,,,,,,32,0.0050,-0.0144,0.0670,2.1500,2.5741,0.1781,2.1384,2.6075,0.0226
1,Line,0.0450,,,,,,,,,,,,,,153,0.0027,0.0032,-0.0060,2.1532,2.6769,0.3962,2.1469,2.6695,0.4101
1,Line,0.1294,,,,,,,,,,,,,,13,0.0000,-0.0107,-0.0300,2.1532,2.6361,0.2245,2.1532,2.6610,0.2941
