Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,92,-0.8475,23.0266,0.0000,-46.2429,181.0883,99.0969,23.0422,-45.3955,158.0617,99.0969
1,Line,,,,,,,90,0.0000,-5.9656,0.0000,-49.2672,463.4725,95.7703,5.9656,-49.2672,469.4381,95.7703
1,Line,,,,,,,106,0.3830,-1.3257,1.5415,-49.2672,469.4381,95.7703,2.0689,-49.6502,470.7638,94.2288
1,Line,,,,,,,0,3.2624,0.0000,13.1293,-49.6502,470.7638,94.2288,13.5286,-52.9126,470.7638,81.0995
1,Line,,,,,,,74,-0.3830,-1.3257,-1.5415,-49.6502,462.1468,94.2288,2.0689,-49.2672,463.4725,95.7703
1,Line,,,,,,,180,-3.4305,0.0000,-13.8058,-52.9967,273.8374,80.7613,14.2256,-49.5662,273.8374,94.5671
1,Line,,,,,,,106,-0.5019,1.7371,-2.0198,-49.5662,273.8374,94.5671,2.7109,-49.0643,272.1003,96.5869
1,Line,,,,,,,180,-3.2624,0.0000,-13.1293,-52.9126,462.1468,81.0995,13.5286,-49.6502,462.1468,94.2288
1,Line,,,,,,,90,0.0000,-5.9656,0.0000,-49.2672,522.7611,95.7703,5.9656,-49.2672,528.7267,95.7703
1,Line,,,,,,,0,3.2624,0.0000,13.1293,-49.6502,549.8153,94.2288,13.5286,-52.9126,549.8153,81.0995
1,Line,,,,,,,74,0.3830,1.3257,1.5415,-52.9126,549.8153,81.0995,2.0689,-53.2957,548.4896,79.5580
1,Line,,,,,,,90,0.0000,5.9656,0.0000,-53.2957,548.4896,79.5580,5.9656,-53.2957,542.5239,79.5580
1,Line,,,,,,,106,0.3830,-1.3257,1.5415,-49.2672,548.4896,95.7703,2.0689,-49.6502,549.8153,94.2288
1,Line,,,,,,,180,-3.2624,0.0000,-13.1293,-52.9126,541.1983,81.0995,13.5286,-49.6502,541.1983,94.2288
1,Line,,,,,,,74,-0.3830,-1.3257,-1.5415,-49.6502,541.1983,94.2288,2.0689,-49.2672,542.5239,95.7703
1,Line,,,,,,,90,0.0000,-5.9656,0.0000,-49.2672,542.5239,95.7703,5.9656,-49.2672,548.4896,95.7703
1,Line,,,,,,,106,0.3830,-1.3257,1.5415,-49.2672,449.6752,95.7703,2.0689,-49.6502,451.0009,94.2288
1,Line,,,,,,,0,3.2624,0.0000,13.1293,-49.6502,451.0009,94.2288,13.5286,-52.9126,451.0009,81.0995
1,Line,,,,,,,74,0.3830,1.3257,1.5415,-52.9126,451.0009,81.0995,2.0689,-53.2957,449.6752,79.5580
1,Line,,,,,,,90,0.0000,-5.9656,0.0000,-49.2672,443.7096,95.7703,5.9656,-49.2672,449.6752,95.7703
1,Line,,,,,,,106,-0.3830,1.3257,-1.5415,-53.2957,443.7096,79.5580,2.0689,-52.9126,442.3839,81.0995
