Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,,,,30,1.6123,0.5257,-0.3346,10.0134,-52.7328,9.1304,3.5820,6.7465,-53.7979,9.8085
1,Line,,,,,,,,,,,,,,13,0.0513,0.0000,0.1247,16.4953,-53.7979,11.5502,0.2741,16.3914,-53.7979,11.2976
1,Line,,,,,,,,,,,,,,65,-0.4039,-0.5257,-0.1181,16.1901,-53.7979,10.9984,1.3956,17.0084,-52.7328,11.2377
1,Line,,,,,,,,,,,,,,51,0.6539,0.5257,0.4068,17.5150,-52.7328,11.8227,1.9255,16.1901,-53.7979,10.9984
1,Line,,,,,,,,,,,,,,59,0.4904,0.5257,0.4954,17.1578,-52.7328,12.7933,1.7975,16.1641,-53.7979,11.7895
1,Line,,,,,,,,,,,,,,56,-0.5545,-0.5257,-0.2592,16.3914,-53.7979,11.2976,1.6695,17.5150,-52.7328,11.8227
1,Line,,,,,,,,,,,,,,54,0.5898,0.5257,0.5446,17.5865,-52.7328,12.4011,1.9756,16.3914,-53.7979,11.2976
1,Line,,,,,,,,,,,,,,13,0.3494,0.0000,0.1837,16.1901,-53.7979,10.9984,0.8147,15.4821,-53.7979,10.6261
1,Line,,,,,,,,,,,,,,84,-0.1699,-0.5257,0.0689,14.5079,-53.7979,10.1874,1.1543,14.8521,-52.7328,10.0478
1,Line,,,,,,,,,,,,,,47,0.7725,0.5257,0.2132,16.0732,-52.7328,10.6195,1.9855,14.5079,-53.7979,10.1874
1,Line,,,,,,,,,,,,,,13,0.0994,0.0000,0.1476,16.3914,-53.7979,11.2976,0.3633,16.1901,-53.7979,10.9984
1,Line,,,,,,,,,,,,,,73,-0.2917,-0.5257,0.0033,15.4821,-53.7979,10.6261,1.2469,16.0732,-52.7328,10.6195
1,Line,,,,,,,,,,,,,,47,0.7532,0.5257,0.3018,17.0084,-52.7328,11.2377,2.0009,15.4821,-53.7979,10.6261
1,Line,,,,,,,,,,,,,,13,-0.1635,0.0000,-0.1181,3.4925,-53.7979,11.5502,0.4150,3.8237,-53.7979,11.7895
1,Line,,,,,,,,,,,,,,44,-0.7212,-0.4391,-0.3707,15.0340,-54.6877,10.7990,1.9056,16.4953,-53.7979,11.5502
1,Line,,,,,,,,,,,,,,51,0.5577,0.4391,0.4888,16.1641,-53.7979,11.7895,1.7745,15.0340,-54.6877,10.7990
1,Line,,,,,,,,,,,,,,11,0.0513,0.0000,-0.1247,3.5964,-53.7979,11.2976,0.2741,3.4925,-53.7979,11.5502
1,Line,,,,,,,,,,,,,,145,0.4904,-0.5257,-0.4954,3.8237,-53.7979,11.7895,1.7975,2.8300,-52.7328,12.7933
1,Line,,,,,,,,,,,,,,155,-0.7020,0.5257,0.3018,2.4014,-52.7328,12.4011,1.9190,3.8237,-53.7979,11.7895
1,Line,,,,,,,,,,,,,,44,0.7212,0.4391,0.4101,16.4953,-53.7979,11.5502,1.9384,15.0340,-54.6877,10.7192
1,Line,,,,,,,,,,,,,,103,0.0000,0.0000,0.0394,15.0340,-54.6877,10.7990,0.0798,15.0340,-54.6877,10.7192
1,Line,,,,,,,,,,,,,,51,-0.5545,-0.4391,-0.1804,15.0664,-54.6877,10.6328,1.5119,16.1901,-53.7979,10.9984
1,Line,,,,,,,,,,,,,,12,-0.0481,0.0000,0.0262,14.9365,-54.6877,10.8522,0.1130,15.0340,-54.6877,10.7990
1,Line,,,,,,,,,,,,,,48,0.6058,0.4391,0.4626,16.1641,-53.7979,11.7895,1.8130,14.9365,-54.6877,10.8522
1,Line,,,,,,,,,,,,,,46,-0.6699,-0.4391,-0.2854,15.0340,-54.6877,10.7192,1.7591,16.3914,-53.7979,11.2976
1,Line,,,,,,,,,,,,,,12,0.5096,0.0000,-0.2165,5.5384,-53.7979,10.1874,1.1445,4.5057,-53.7979,10.6261
1,Line,,,,,,,,,,,,,,140,0.4039,-0.5257,-0.1017,3.7978,-53.7979,11.0317,1.3903,2.9794,-52.7328,11.2377
1,Line,,,,,,,,,,,,,,94,0.0737,0.5257,-0.2034,3.9471,-52.7328,10.6195,1.1756,3.7978,-53.7979,11.0317
1,Line,,,,,,,,,,,,,,12,0.5962,0.0000,-0.1870,6.7465,-53.7979,9.8085,1.2933,5.5384,-53.7979,10.1874
1,Line,,,,,,,,,,,,,,130,0.2757,-0.5257,0.0033,4.5057,-53.7979,10.6261,1.2311,3.9471,-52.7328,10.6195
1,Line,,,,,,,,,,,,,,69,0.3398,0.5257,-0.2690,5.1942,-52.7328,10.0810,1.4080,4.5057,-53.7979,10.6261
1,Line,,,,,,,,,,,,,,12,0.0994,0.0000,-0.1312,3.7978,-53.7979,11.0317,0.3364,3.5964,-53.7979,11.2976
1,Line,,,,,,,,,,,,,,148,0.5385,-0.5257,-0.4199,3.4925,-53.7979,11.5502,1.7777,2.4014,-52.7328,12.4011
1,Line,,,,,,,,,,,,,,146,-0.5032,0.5257,0.1345,2.4728,-52.7328,11.8227,1.5337,3.4925,-53.7979,11.5502
1,Line,,,,,,,,,,,,,,12,0.3494,0.0000,-0.2001,4.5057,-53.7979,10.6261,0.8304,3.7978,-53.7979,11.0317
1,Line,,,,,,,,,,,,,,149,0.5545,-0.5257,-0.2592,3.5964,-53.7979,11.2976,1.6695,2.4728,-52.7328,11.8227
1,Line,,,,,,,,,,,,,,132,-0.3045,0.5257,-0.0295,2.9794,-52.7328,11.2377,1.2614,3.5964,-53.7979,11.2976
1,Line,,,,,,,,,,,,,,95,-0.1218,-0.9263,-0.0492,18.6646,-11.1338,8.1598,1.9404,18.9114,-9.2568,8.2595
1,Line,,,,,,,,,,,,,,79,0.0618,0.1432,0.1247,18.8270,-49.6932,14.4686,0.4105,18.7017,-49.9835,14.2160
1,Line,,,,,,,,,,,,,,124,0.5374,-1.3168,-0.8956,2.4014,-52.7328,12.4011,3.4634,1.3124,-50.0646,14.2160
1,Line,,,,,,,,,,,,,,127,0.4292,-0.9386,-0.7021,2.8300,-52.7328,12.7933,2.5703,1.9603,-50.8309,14.2160
1,Line,,,,,,,,,,,,,,80,-0.5374,-1.3168,-0.8956,17.5865,-52.7328,12.4011,3.4634,18.6754,-50.0646,14.2160
1,Line,,,,,,,,,,,,,,84,0.1549,0.4737,0.4134,18.5802,-49.6932,15.0536,1.3305,18.2664,-50.6531,14.2160
1,Line,,,,,,,,,,,,,,77,0.2601,0.5559,0.4134,18.5802,-49.6932,15.0536,1.5239,18.0531,-50.8197,14.2160
1,Line,,,,,,,,,,,,,,101,0.1474,6.7534,0.9317,20.1325,-9.2568,12.8066,14.1373,19.8337,-22.9413,10.9186
1,Line,,,,,,,,,,,,,,102,0.0000,6.7534,0.6463,-0.1122,-9.2568,14.2160,14.0684,-0.1122,-22.9413,12.9063
1,Line,,,,,,,,,,,,,,102,0.0000,5.8271,-1.0203,-0.1122,-11.1338,10.8389,12.2616,-0.1122,-22.9413,12.9063
1,Line,,,,,,,,,,,,,,131,-0.1242,0.2262,0.1247,1.1608,-49.6932,14.4686,0.5919,1.4125,-50.1516,14.2160
1,Line,,,,,,,,,,,,,,102,0.0000,6.7534,-0.0492,20.1325,-9.2568,12.8066,14.0077,20.1325,-22.9413,12.9063
1,Line,,,,,,,,,,,,,,102,0.0000,0.9263,0.9711,20.1325,-9.2568,12.8066,2.7502,20.1325,-11.1338,10.8389
1,Line,,,,,,,,,,,,,,120,-0.3512,1.0776,-0.1936,17.8203,6.6554,13.8237,2.3833,18.5319,4.4718,14.2160
1,Line,,,,,,,,,,,,,,116,-0.1162,0.4849,-0.1936,17.8203,6.6554,13.8237,1.1061,18.0557,5.6728,14.2160
1,Line,,,,,,,,,,,,,,11,-0.0035,0.0000,0.0131,18.5802,4.3238,14.2426,0.0275,18.5872,4.3238,14.2160
1,Line,,,,,,,,,,,,,,18,0.0077,0.0000,0.1247,18.8270,-49.6932,14.4686,0.2531,18.8114,-49.6932,14.2160
1,Line,,,,,,,,,,,,,,107,-0.0199,0.2254,-0.0230,0.9010,-46.7576,14.1694,0.4716,0.9414,-47.2143,14.2160
1,Line,,,,,,,,,,,,,,113,0.0076,-0.0415,0.0131,18.5802,4.3238,14.2426,0.0914,18.5647,4.4078,14.2160
1,Line,,,,,,,,,,,,,,95,0.0839,0.6549,-0.3510,1.9402,6.6554,13.5046,1.5432,1.7702,5.3284,14.2160
1,Line,,,,,,,,,,,,,,115,-0.0235,0.1082,0.0131,18.5802,4.3238,14.2426,0.2313,18.6279,4.1044,14.2160
1,Line,,,,,,,,,,,,,,6,0.0276,0.0000,-0.4462,1.2323,-49.6932,13.3119,0.9059,1.1764,-49.6932,14.2160
1,Line,,,,,,,,,,,,,,90,-0.0089,-0.0415,0.0131,1.4401,4.3238,14.2426,0.0919,1.4581,4.4078,14.2160
1,Line,,,,,,,,,,,,,,93,0.1912,1.1255,-0.5873,1.8363,6.6554,13.0260,2.6501,1.4488,4.3747,14.2160
1,Line,,,,,,,,,,,,,,89,-0.1613,-0.6657,0.2657,1.6414,4.3238,14.7544,1.5194,1.9684,5.6728,14.2160
1,Line,,,,,,,,,,,,,,12,2.0370,0.0000,0.0533,14.1409,-17.0375,8.0617,4.2262,10.0134,-17.0375,7.9537
1,Line,,,,,,,,,,,,,,106,-0.2099,2.9136,-0.0049,1.2972,-11.1338,8.1598,6.0587,1.7226,-17.0375,8.1698
1,Line,,,,,,,,,,,,,,12,-2.0458,0.0000,0.0533,5.8680,-17.0375,8.0617,4.2445,10.0134,-17.0375,7.9537
1,Line,,,,,,,,,,,,,,102,0.0000,2.9136,-0.0098,10.0134,-17.0375,7.9537,6.0431,10.0134,-22.9413,7.9736
1,Line,,,,,,,,,,,,,,102,0.0000,2.9136,-0.0098,10.0134,-11.1338,7.9338,6.0431,10.0134,-17.0375,7.9537
1,Line,,,,,,,,,,,,,,98,-0.1955,-2.9136,0.0049,17.8722,-22.9413,8.1797,6.0566,18.2684,-17.0375,8.1698
1,Line,,,,,,,,,,,,,,12,1.9408,0.0000,-0.0509,10.0134,-22.9413,7.9736,4.0267,6.0807,-22.9413,8.0767
