Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,3D Polyline,0.0338,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0.5981,,,,,,,,,,,,,,90,0.0000,0.3641,0.4745,-17.9587,-3.2402,34.7736,-17.9587,-3.6044,34.2991
1,Line,0.5872,,,,,,,,,,,,,,90,0.0000,0.3575,0.4659,-16.9192,-3.1812,34.7145,-16.9192,-3.5387,34.2487
1,Line,0.4579,,,,,,,,,,,,,,270,0.0000,-0.2788,-0.3633,-16.9840,-3.5032,34.3034,-16.9840,-3.2244,34.6667
1,Line,0.5169,,,,,,,,,,,,,,350,0.5087,-0.0916,0.0000,-29.6955,-15.6471,33.9315,-30.2043,-15.5555,33.9315
1,Line,0.7075,,,,,,,,,,,,,,359,0.7042,-0.0133,0.0666,-30.5923,-14.9568,34.4023,-31.2965,-14.9434,34.3357
1,Line,1.3785,,,,,,,,,,,,,,170,-1.3566,0.2443,0.0000,-30.5970,-14.9768,34.4294,-29.2404,-15.2211,34.4294
1,Line,0.0917,,,,,,,,,,,,,,77,0.0168,0.0704,0.0563,-30.5803,-14.9063,34.4858,-30.5970,-14.9768,34.4294
1,3D Polyline,0.9270,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0.6981,,,,,,,,,,,,,,164,-0.6634,0.1850,-0.1145,-31.2965,-14.9434,34.3357,-30.6331,-15.1284,34.4503
1,Line,1.0339,,,,,,,,,,,,,,170,-1.0175,0.1832,0.0000,-30.6412,-15.1624,34.1380,-29.6237,-15.3456,34.1380
1,Line,0.1909,,,,,,,,,,,,,,257,-0.0007,-0.0031,-0.1909,-28.9246,-15.3803,33.7668,-28.9239,-15.3772,33.9577
1,Line,0.9128,,,,,,,,,,,,,,3,0.9099,0.0517,-0.0517,-16.9840,-3.2244,34.6667,-17.8939,-3.2761,34.7183
1,Line,0.4674,,,,,,,,,,,,,,90,0.0000,0.2846,0.3708,-17.8939,-3.2761,34.7183,-17.8939,-3.5607,34.3475
1,Line,0.1778,,,,,,,,,,,,,,257,-0.0412,-0.1730,0.0000,-28.8355,-15.0064,34.3368,-28.7944,-14.8334,34.3368
1,Line,0.0582,,,,,,,,,,,,,,257,-0.0081,-0.0342,-0.0464,-29.3059,-15.4962,34.4490,-29.2978,-15.4620,34.4954
1,Line,0.0355,,,,,,,,,,,,,,73,0.0097,0.0316,0.0131,-27.0020,-19.2677,34.3342,-27.0117,-19.2993,34.3211
1,Line,1.7994,,,,,,,,,,,,,,167,-1.7524,0.4083,0.0000,-28.7544,-18.8594,34.3342,-27.0020,-19.2677,34.3342
1,Line,0.0355,,,,,,,,,,,,,,73,0.0097,0.0316,0.0131,-28.7544,-18.8594,34.3342,-28.7642,-18.8910,34.3211
1,Line,0.5169,,,,,,,,,,,,,,350,0.5087,-0.0916,0.0000,-29.5522,-15.0450,34.8608,-30.0609,-14.9534,34.8608
1,Line,0.6892,,,,,,,,,,,,,,170,-0.6783,0.1222,0.0000,-29.6022,-15.2550,33.9577,-28.9239,-15.3772,33.9577
1,Line,0.3446,,,,,,,,,,,,,,350,0.3392,-0.0611,0.0000,-29.2359,-15.2023,34.1426,-29.5751,-15.1412,34.1426
1,3D Polyline,0.8139,,,,,,,,,,,,,,,,,,,,,,,
1,3D Polyline,0.0337,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0.0923,,,,,,,,,,,,,,77,0.0081,0.0340,0.0855,-29.2457,-15.2434,34.5488,-29.2538,-15.2774,34.4633
1,Line,0.0579,,,,,,,,,,,,,,77,0.0124,0.0519,0.0224,-29.5751,-15.1412,34.1426,-29.5874,-15.1931,34.1202
1,Line,0.0925,,,,,,,,,,,,,,257,-0.0028,-0.0116,0.0917,-29.2643,-15.3215,34.5595,-29.2615,-15.3099,34.4678
1,Line,1.7994,,,,,,,,,,,,,,167,-1.7524,0.4083,0.0000,-28.7642,-18.8910,34.3211,-27.0117,-19.2993,34.3211
1,Line,2.2192,,,,,,,,,,,,,,141,-1.7164,1.3810,0.2673,-41.2748,-1.9672,32.1328,-39.5584,-3.3482,31.8655
1,Arc,0.9075,,,,,,,0.0179,-36.9838,0.0000,31.5334,3.4663,90,15,,,,,,,,,,
1,3D Polyline,0.7566,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0.6892,,,,,,,,,,,,,,170,-0.6783,0.1222,0.0000,-29.5573,-15.0665,34.0078,-28.8790,-15.1887,34.0078
1,Line,1.3785,,,,,,,,,,,,,,170,-1.3566,0.2443,0.0000,-30.6032,-15.0028,34.4503,-29.2466,-15.2471,34.4503
1,Line,0.3446,,,,,,,,,,,,,,170,-0.3392,0.0611,0.0000,-29.5776,-15.1520,34.5357,-29.2385,-15.2131,34.5357
1,Line,0.1440,,,,,,,,,,,,,,257,-0.0006,-0.0024,-0.1440,-29.5931,-15.2168,34.7392,-29.5925,-15.2144,34.8832
1,Line,0.3446,,,,,,,,,,,,,,350,0.3392,-0.0611,0.0000,-29.2978,-15.4620,34.4954,-29.6369,-15.4010,34.4954
1,Line,1.1927,,,,,,,,,,,,,,0,1.1927,0.0000,0.0000,-8.1721,-0.1215,40.5306,-9.3648,-0.1215,40.5306
1,Line,0.1440,,,,,,,,,,,,,,257,-0.0006,-0.0024,-0.1440,-30.1018,-15.1252,34.7392,-30.1012,-15.1228,34.8832
