Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Circle,,,,,,,0.0040,-1.2563,3.7441,2.2280,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,2.1757,-1.2563,3.7441,2.1757
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.9276,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,2.0452,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,2.0452,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.6977,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.7473,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.8394,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.0618,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.0381,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.8394,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.9276,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.7473,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.6977,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,2.2686,-1.2563,3.7441,2.2686
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,0.9052,-1.2563,3.7441,0.9052
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,1.0530,-1.2563,3.7441,1.0530
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.1940,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,1.2456,-1.2563,3.7441,1.2456
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,1.4699,-1.2563,3.7441,1.4699
1,Circle,,,,,,,0.0040,-1.2563,3.7441,2.1171,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,1.4699,-1.2563,3.7441,1.4699
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,0.8123,-1.2563,3.7441,0.8123
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,2.3683,-1.2563,3.7441,2.3683
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,0.9052,-1.2563,3.7441,0.9052
