Count,Name,Length,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0788,,,,,,,,,,,,,,90,0.0000,0.0000,-0.9378,-0.5977,1.0750,0.3100,-0.5977,1.0750,0.3881
1,Line,0.0788,,,,,,,,,,,,,,90,0.0000,0.0000,0.8739,-0.5977,1.0750,0.4610,-0.5977,1.0750,0.3881
1,Line,0.0069,,,,,,,,,,,,,,122,0.0000,0.0000,-0.0540,-0.5977,1.0750,0.5151,-0.5977,1.0750,0.5196
1,Line,0.0774,,,,,,,,,,,,,,90,0.0000,0.0000,0.8577,-0.5977,1.0750,0.2333,-0.5977,1.0750,0.1618
1,Line,0.0774,,,,,,,,,,,,,,90,0.0000,0.0000,0.9205,-0.5977,1.0750,0.3100,-0.5977,1.0750,0.2333
1,Line,0.0077,,,,,,,,,,,,,,144,0.0000,0.0000,-0.0474,-0.5977,1.0750,0.5196,-0.5977,1.0750,0.5235
1,Line,0.0099,,,,,,,,,,,,,,176,0.0000,0.0000,-0.0080,-0.5977,1.0750,0.5285,-0.5977,1.0750,0.5292
1,Line,0.0094,,,,,,,,,,,,,,168,0.0000,0.0000,-0.0234,-0.5977,1.0750,0.5266,-0.5977,1.0750,0.5285
1,Line,0.0087,,,,,,,,,,,,,,158,0.0000,0.0000,-0.0369,-0.5977,1.0750,0.5235,-0.5977,1.0750,0.5266
1,Line,0.0600,,,,,,,,,,,,,,90,0.0000,0.0000,-0.0940,-0.5977,1.0750,0.5322,-0.5977,1.0750,0.5400
1,Line,0.0600,,,,,,,,,,,,,,90,0.0000,0.0000,-0.4386,-0.5977,1.0750,0.1108,-0.5977,1.0750,0.1474
1,Line,0.0600,,,,,,,,,,,,,,90,0.0000,0.0000,0.7143,-0.5977,1.0750,0.3100,-0.5977,1.0750,0.2505
1,Line,0.0600,,,,,,,,,,,,,,90,0.0000,0.0000,0.0940,-0.5977,1.0750,0.5400,-0.5977,1.0750,0.5322
1,Line,0.0757,,,,,,,,,,,,,,90,0.0000,0.0000,0.9007,-0.5977,1.0750,0.3851,-0.5977,1.0750,0.3100
1,Line,0.0757,,,,,,,,,,,,,,90,0.0000,0.0000,0.8393,-0.5977,1.0750,0.4550,-0.5977,1.0750,0.3851
1,Line,0.0757,,,,,,,,,,,,,,90,0.0000,0.0000,0.7207,-0.5977,1.0750,0.5151,-0.5977,1.0750,0.4550
1,Line,0.0002,,,,,,,,,,,,,,18,0.0000,0.0000,0.0010,-0.3275,1.1550,0.1369,-0.3275,1.1550,0.1368
