Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.1408,,,,,,,,,,17,0.1347,0.0410,0.0040,2.7182,3.4145,0.9940,2.5835,3.3735,0.9900
1,Line,0.2211,,,,,,,,,,5,0.2199,0.0202,0.0110,2.3654,3.3277,0.9721,2.1455,3.3075,0.9611
1,Line,0.1881,,,,,,,,,,190,-0.1849,-0.0337,-0.0053,2.3315,3.5084,1.0967,2.5164,3.5421,1.1020
1,Line,0.1478,,,,,,,,,,194,-0.1434,-0.0357,0.0012,2.5164,3.5421,1.1020,2.6598,3.5778,1.1008
1,3D Polyline,0.1769,,,,,,,,,,,,,,,,,,,
1,Line,0.1847,,,,,,,,,,113,-0.0545,0.1306,0.1186,2.7287,3.5679,1.1144,2.7833,3.4373,0.9958
1,Line,0.0493,,,,,,,,,,90,0.0003,0.0470,-0.0152,2.7833,3.4373,0.9958,2.7829,3.3903,1.0110
1,Line,0.1531,,,,,,,,,,122,-0.0544,0.0878,0.1129,2.7829,3.3903,1.0110,2.8374,3.3025,0.8980
1,Line,0.0820,,,,,,,,,,88,0.0026,0.0820,-0.0027,2.8374,3.3025,0.8980,2.8348,3.2205,0.9007
1,Line,0.0948,,,,,,,,,,116,-0.0302,0.0623,0.0648,2.6984,3.6615,1.1643,2.7285,3.5992,1.0995
1,Line,0.0282,,,,,,,,,,82,0.0032,0.0237,-0.0150,2.7016,3.6852,1.1493,2.6984,3.6615,1.1643
1,Line,0.0503,,,,,,,,,,201,-0.0412,-0.0159,0.0241,2.6129,3.6902,1.1929,2.6540,3.7061,1.1688
1,Line,0.0347,,,,,,,,,,90,-0.0002,0.0313,-0.0149,2.7285,3.5992,1.0995,2.7287,3.5679,1.1144
1,Line,0.0605,,,,,,,,,,179,-0.0494,0.0013,0.0350,2.6522,3.6865,1.1842,2.7016,3.6852,1.1493
1,Line,0.0877,,,,,,,,,,270,0.0000,-0.0877,0.0000,2.7740,3.1932,0.8954,2.7740,3.2809,0.8954
1,Line,0.1663,,,,,,,,,,167,-0.1599,0.0367,0.0266,2.1455,3.6955,1.2127,2.3054,3.6588,1.1861
1,Line,0.1676,,,,,,,,,,176,-0.1642,0.0123,0.0310,2.4496,3.7187,1.2073,2.6138,3.7064,1.1763
1,Line,0.1305,,,,,,,,,,149,-0.1025,0.0625,0.0512,2.5991,3.7476,1.2005,2.7016,3.6852,1.1493
1,Line,0.1836,,,,,,,,,,131,-0.1028,0.1182,0.0958,2.7833,3.4373,0.9958,2.8861,3.3191,0.9000
1,Line,0.1710,,,,,,,,,,172,-0.1670,0.0234,0.0284,2.2981,3.7013,1.2114,2.4651,3.6779,1.1829
1,Line,0.0875,,,,,,,,,,90,0.0000,0.0875,0.0000,2.6506,3.2357,0.8867,2.6506,3.1482,0.8867
1,Line,0.0858,,,,,,,,,,315,0.0607,-0.0604,0.0053,2.8348,3.2205,0.9007,2.7740,3.2809,0.8954
1,Line,0.0837,,,,,,,,,,90,0.0000,0.0837,0.0000,2.1455,3.1515,0.8360,2.1455,3.0678,0.8360
1,Line,0.0839,,,,,,,,,,90,0.0000,0.0839,0.0000,2.3998,3.1790,0.8532,2.3998,3.0951,0.8532
1,Line,0.1624,,,,,,,,,,352,0.1599,-0.0220,0.0174,2.1455,3.6368,1.2035,1.9856,3.6588,1.1861
1,Line,0.1603,,,,,,,,,,173,-0.1591,0.0189,-0.0032,1.8269,3.6617,1.1995,1.9860,3.6428,1.2027
1,Line,0.0231,,,,,,,,,,92,-0.0005,0.0160,-0.0166,1.9856,3.6588,1.1861,1.9860,3.6428,1.2027
1,Line,0.1596,,,,,,,,,,178,-0.1595,0.0060,-0.0008,1.9860,3.6428,1.2027,2.1455,3.6368,1.2035
1,Line,0.0212,,,,,,,,,,270,0.0000,-0.0150,0.0150,1.5455,3.7728,1.2060,1.5455,3.7878,1.1910
1,Line,0.0212,,,,,,,,,,270,0.0000,-0.0150,0.0150,1.9929,3.6863,1.2264,1.9929,3.7013,1.2114
1,Line,0.1700,,,,,,,,,,8,0.1660,0.0246,0.0269,1.9929,3.6863,1.2264,1.8269,3.6617,1.1995
1,Line,0.1940,,,,,,,,,,249,-0.0586,-0.1501,-0.1080,1.4869,3.6227,1.0981,1.5455,3.7728,1.2060
1,Line,0.0212,,,,,,,,,,270,0.0000,-0.0150,0.0150,1.8414,3.7037,1.2223,1.8414,3.7187,1.2073
1,3D Polyline,0.1527,,,,,,,,,,,,,,,,,,,
1,3D Polyline,0.1524,,,,,,,,,,,,,,,,,,,
1,Line,0.1103,,,,,,,,,,72,0.0303,0.0936,0.0499,1.5926,3.6615,1.1643,1.5623,3.5679,1.1144
1,Line,0.1516,,,,,,,,,,169,-0.1488,0.0285,-0.0066,1.6781,3.6902,1.1929,1.8269,3.6617,1.1995
1,Line,0.1664,,,,,,,,,,5,0.1632,0.0135,0.0294,1.8414,3.7037,1.2223,1.6781,3.6902,1.1929
1,Line,0.0725,,,,,,,,,,342,0.0689,-0.0225,0.0014,1.5623,3.5679,1.1144,1.4934,3.5903,1.1131
