Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,2.4337,,,,,,,91,-0.0146,0.5694,0.0444,9.5983,15.6159,4.9271,9.6605,13.1903,4.7381
1,Line,2.4328,,,,,,,92,-0.0163,0.5699,0.0320,9.5911,15.6182,4.8745,9.6605,13.1903,4.7381
1,Line,0.0480,,,,,,,87,0.0006,0.0112,0.0006,9.6605,13.1903,4.7381,9.6581,13.1424,4.7357
1,Line,2.4326,,,,,,,91,-0.0129,0.5699,-0.0326,9.6796,15.6182,2.5326,9.7346,13.1903,2.6714
1,Line,0.0366,,,,,,,36,0.0062,0.0045,-0.0039,9.5265,17.5606,4.9367,9.5002,17.5415,4.9534
1,Line,0.0984,,,,,,,88,-0.0006,-0.0152,-0.0174,9.5002,17.5415,4.9534,9.5026,17.6061,5.0276
1,Line,0.1901,,,,,,,113,0.0135,-0.0314,-0.0286,9.5576,17.4075,4.8314,9.5002,17.5415,4.9534
1,Line,0.0343,,,,,,,42,0.0056,0.0051,-0.0028,9.5265,17.6276,5.0156,9.5026,17.6061,5.0276
1,Line,0.0596,,,,,,,149,0.0056,-0.0034,-0.0124,9.5265,17.5917,4.9749,9.5026,17.6061,5.0276
1,Line,0.0607,,,,,,,62,-0.0062,-0.0118,-0.0051,9.5002,17.5415,4.9534,9.5265,17.5917,4.9749
1,Line,0.3802,,,,,,,79,0.0163,0.0876,0.0051,9.5002,17.5415,4.9534,9.4308,17.1683,4.9319
1,Line,0.0384,,,,,,,21,0.0073,0.0028,-0.0045,9.5576,17.4075,4.8314,9.5265,17.3956,4.8505
1,Line,0.2596,,,,,,,67,0.0225,0.0533,-0.0191,9.5265,17.3956,4.8505,9.4308,17.1683,4.9319
1,Line,0.2224,,,,,,,101,0.0095,-0.0489,-0.0157,9.5672,17.1875,4.7836,9.5265,17.3956,4.8505
1,Line,0.4538,,,,,,,81,-0.0168,-0.1028,-0.0225,9.4308,17.1683,4.9319,9.5026,17.6061,5.0276
1,Line,0.1168,,,,,,,2,-0.0202,-0.0006,-0.0185,9.4308,17.1683,4.9319,9.5170,17.1707,5.0108
1,Line,0.1805,,,,,,,100,0.0062,-0.0343,-0.0241,9.5265,17.3956,4.8505,9.5002,17.5415,4.9534
1,Line,2.4283,,,,,,,91,-0.0090,0.5699,0.0045,9.6796,15.6182,2.5326,9.7179,13.1903,2.5135
1,Line,2.4315,,,,,,,92,-0.0152,0.5699,-0.0270,9.6533,15.6182,2.3987,9.7179,13.1903,2.5135
1,Line,0.1633,,,,,,,107,-0.0034,0.0112,-0.0365,9.7179,13.1903,2.5135,9.7322,13.1424,2.6690
1,Line,0.1365,,,,,,,180,-0.0062,0.0000,-0.0314,9.6533,15.6182,2.3987,9.6796,15.6182,2.5326
1,Line,0.5980,,,,,,,90,-0.0011,0.1398,0.0124,9.6485,16.2139,2.4513,9.6533,15.6182,2.3987
1,Line,0.1588,,,,,,,180,-0.0039,0.0000,-0.0371,9.7179,13.1903,2.5135,9.7346,13.1903,2.6714
1,Line,0.1567,,,,,,,180,-0.0045,0.0000,-0.0365,9.7131,13.1424,2.5135,9.7322,13.1424,2.6690
1,Line,0.0483,,,,,,,84,0.0011,0.0112,0.0011,9.6653,13.1903,2.2575,9.6605,13.1424,2.2527
1,Line,0.2613,,,,,,,0,0.0124,0.0000,0.0601,9.7179,13.1903,2.5135,9.6653,13.1903,2.2575
1,Line,2.4321,,,,,,,90,-0.0028,0.5699,0.0331,9.6533,15.6182,2.3987,9.6653,13.1903,2.2575
1,Line,0.0481,,,,,,,84,0.0011,0.0112,0.0000,9.7179,13.1903,2.5135,9.7131,13.1424,2.5135
1,Line,0.2660,,,,,,,180,-0.0124,0.0000,-0.0612,9.6605,13.1424,2.2527,9.7131,13.1424,2.5135
1,Line,0.2712,,,,,,,40,0.0135,0.0112,0.0612,9.7179,13.1903,2.5135,9.6605,13.1424,2.2527
1,Line,2.5237,,,,,,,79,-0.1162,-0.5806,-0.0185,9.1534,13.1424,1.7982,9.6485,15.6159,1.8772
1,Line,0.6282,,,,,,,161,0.0567,-0.0191,-0.1348,9.1749,13.1424,5.4581,8.9333,13.2238,6.0322
1,Line,0.6921,,,,,,,168,-0.0887,0.0191,0.1348,8.9333,13.2238,6.0322,9.3112,13.1424,5.4581
1,Line,0.4952,,,,,,,180,-0.1162,0.0006,0.0000,9.1534,15.6182,1.8772,9.6485,15.6159,1.8772
1,Line,0.5935,,,,,,,90,0.0000,0.1393,0.0045,9.1534,16.2115,1.8963,9.1534,15.6182,1.8772
1,Line,2.4771,,,,,,,90,0.0000,0.5812,0.0185,9.1534,15.6182,1.8772,9.1534,13.1424,1.7982
