Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,0.4710,,,,,,,,90,0.0000,-0.3958,0.0000,56.7154,28.3274,4.1701,56.7154,28.7984,4.1701
1,Line,,,,,,,0.5747,,,,,,,,62,-0.1998,-0.3822,-0.2173,56.7154,28.3274,4.1701,56.9531,28.7822,4.4287
1,Line,,,,,,,0.3516,,,,,,,,4,0.1998,0.0136,0.2173,56.9531,28.3436,4.4287,56.7154,28.3274,4.1701
1,Line,,,,,,,0.3516,,,,,,,,176,-0.1998,0.0136,-0.2173,56.7154,28.7984,4.1701,56.9531,28.7822,4.4287
1,Line,,,,,,,2.5759,,,,,,,,29,-0.8079,-0.4558,1.9558,55.1209,28.5623,9.9471,56.0823,29.1047,7.6198
1,Line,,,,,,,1.3382,,,,,,,,97,-0.0938,0.7923,0.7925,56.8398,25.4434,7.1489,56.9515,24.5006,6.2058
1,Line,,,,,,,0.6484,,,,,,,,90,-0.0013,0.3930,-0.3774,56.8383,25.9110,6.6998,56.8398,25.4434,7.1489
1,Line,,,,,,,0.8315,,,,,,,,98,-0.1017,0.6901,-0.0410,56.7188,26.2646,7.1000,56.8398,25.4434,7.1489
1,Line,,,,,,,1.3188,,,,,,,,98,0.0977,-0.7290,-0.8290,56.9545,25.0435,5.7132,56.8383,25.9110,6.6998
1,Line,,,,,,,0.3584,,,,,,,,42,0.1997,0.1825,0.1323,56.9515,24.5006,6.2058,56.7138,24.2834,6.0483
1,Line,,,,,,,0.7331,,,,,,,,90,0.0026,0.4562,-0.4139,56.9545,25.0435,5.7132,56.9515,24.5006,6.2058
1,Line,,,,,,,1.4987,,,,,,,,95,-0.0951,1.1852,0.4151,56.8383,25.9110,6.6998,56.9515,24.5006,6.2058
1,Line,,,,,,,0.5473,,,,,,,,109,0.1004,-0.2971,-0.3364,56.8383,25.9110,6.6998,56.7188,26.2646,7.1000
1,Line,,,,,,,0.2563,,,,,,,,90,0.0000,0.0282,0.2135,56.0823,26.1832,9.7423,56.0823,26.1496,9.4882
1,Line,,,,,,,0.6213,,,,,,,,90,-0.0001,-0.1613,0.4966,56.0823,26.1496,9.4882,56.0825,26.3416,8.8973
1,Line,,,,,,,0.5827,,,,,,,,96,0.0200,-0.1949,0.4488,56.1062,26.1097,9.4313,56.0825,26.3416,8.8973
1,Line,,,,,,,2.6374,,,,,,,,112,0.8079,-2.0274,-0.3856,56.0823,26.1496,9.4882,55.1209,28.5623,9.9471
1,Line,,,,,,,0.9203,,,,,,,,112,-0.2148,0.5219,0.5288,56.5842,26.0644,7.7781,56.8398,25.4434,7.1489
1,Line,,,,,,,0.7197,,,,,,,,56,0.1131,0.1682,-0.5698,56.7188,26.2646,7.1000,56.5842,26.0644,7.7781
1,Line,,,,,,,1.0657,,,,,,,,126,-0.4088,0.5600,0.5669,56.0977,26.7307,8.4527,56.5842,26.0644,7.7781
1,Line,,,,,,,2.4978,,,,,,,,117,-0.8080,1.5632,1.1443,55.1209,28.5623,9.9471,56.0824,26.7021,8.5855
1,Line,,,,,,,0.2230,,,,,,,,90,-0.0001,-0.1545,0.1060,56.0823,26.5182,8.7116,56.0824,26.7021,8.5855
1,Line,,,,,,,2.5747,,,,,,,,115,-0.8079,1.7177,1.0382,55.1209,28.5623,9.9471,56.0823,26.5182,8.7116
1,Line,,,,,,,0.1367,,,,,,,,62,-0.0129,-0.0241,0.1116,56.0824,26.7021,8.5855,56.0977,26.7307,8.4527
1,Line,,,,,,,1.5597,,,,,,,,143,-0.5219,0.3917,1.1367,56.0977,26.7307,8.4527,56.7188,26.2646,7.1000
1,Line,,,,,,,0.6067,,,,,,,,84,0.0414,0.4130,-0.2960,56.1471,27.2222,8.1005,56.0977,26.7307,8.4527
1,Line,,,,,,,2.5578,,,,,,,,118,-0.8209,1.5391,1.2558,55.1209,28.5623,9.9471,56.0977,26.7307,8.4527
1,Line,,,,,,,0.2563,,,,,,,,90,0.0002,-0.1484,0.1560,56.0825,26.3416,8.8973,56.0823,26.5182,8.7116
1,Line,,,,,,,0.6802,,,,,,,,2,-0.5692,-0.0164,-0.0500,56.0366,24.8702,5.4313,56.7139,24.8897,5.4909
1,Line,,,,,,,0.8649,,,,,,,,72,0.2023,0.6388,-0.2816,56.9545,25.0435,5.7132,56.7138,24.2834,6.0483
1,Line,,,,,,,0.3619,,,,,,,,33,-0.2022,-0.1292,-0.1869,56.7139,24.8897,5.4909,56.9545,25.0435,5.7132
1,Line,,,,,,,0.8237,,,,,,,,90,0.0001,0.5096,-0.4684,56.7139,24.8897,5.4909,56.7138,24.2834,6.0483
1,Line,,,,,,,2.6379,,,,,,,,113,-0.8081,1.8662,0.8822,55.1209,28.5623,9.9471,56.0825,26.3416,8.8973
1,Line,,,,,,,1.0880,,,,,,,,139,-0.5691,0.4932,-0.5184,56.0366,24.8702,5.4313,56.7138,24.2834,6.0483
1,Line,,,,,,,0.6879,,,,,,,,9,0.5692,0.0918,-0.0415,56.7138,24.2834,6.0483,56.0365,24.1742,6.0977
1,Line,,,,,,,0.8570,,,,,,,,17,-0.5704,-0.1751,0.4033,56.0364,22.9343,8.4169,56.7152,23.1427,7.9370
