Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,Position X1,Position Y1,Position Z1
1,Line,0.3054,,,,,,,,,,,,,,,,180,-24.6700,0.0000,0.0000,0.9054,0.1217,0.6539,1.2108,0.1217,0.6539,,,
1,Line,0.0826,,,,,,,,,,,,,,,,90,0.0000,-4.0019,-5.3421,1.2108,0.1217,0.6539,1.2108,0.1712,0.7201,,,
1,Line,0.0722,,,,,,,,,,,,,,,,20,-5.2895,-1.9501,-1.5003,1.2108,0.1712,0.7201,1.2763,0.1954,0.7387,,,
1,Line,0.0561,,,,,,,,,,,,,,,,7,4.4974,0.5220,0.0000,1.2665,0.1777,0.7201,1.2108,0.1712,0.7201,,,
1,Line,0.0275,,,,,,,,,,,,,,,,61,0.7922,1.4281,1.5003,1.2763,0.1954,0.7387,1.2665,0.1777,0.7201,,,
1,Line,0.1260,,,,,,,,,,,,,,,,174,-10.1255,1.0273,0.0000,1.4076,4.8841,0.5855,1.5330,4.8714,0.5855,,,
1,Line,0.0726,,,,,,,,,,,,,,,,90,0.0000,2.5497,-5.2825,1.7071,4.6287,0.9011,1.7071,4.5971,0.9665,,,
1,Line,0.0726,,,,,,,,,,,,,,,,90,0.0000,2.5497,-5.2825,1.6487,4.6902,0.9011,1.6487,4.6586,0.9665,,,
1,Line,0.0915,,,,,,,,,,,,,,,,174,7.3505,-0.7458,0.0000,1.5562,4.6896,0.9925,1.4652,4.6989,0.9925,,,
1,Line,0.0932,,,,,,,,,,,,,,,,130,2.7463,-3.2717,6.2010,1.4365,4.7088,0.9779,1.4025,4.7493,0.9011,,,
1,Line,0.0337,,,,,,,,,,,,,,,,161,2.3180,-0.8044,1.1794,1.4652,4.6989,0.9925,1.4365,4.7088,0.9779,,,
1,Line,0.1659,,,,,,,,,,,,,,,,8,13.2674,1.7886,0.5987,1.1330,4.8129,0.8188,0.9687,4.7908,0.8113,,,
1,Line,0.1631,,,,,,,,,,,,,,,,2,-13.1631,-0.4486,-0.1567,0.9700,4.8074,0.8168,1.1330,4.8129,0.8188,,,
1,Line,0.1584,,,,,,,,,,,,,,,,1,-12.7915,-0.2022,-0.1335,0.9687,4.7908,0.8113,1.1271,4.7933,0.8130,,,
1,Line,0.3054,,,,,,,,,,,,,,,,0,24.6700,0.0000,0.0000,1.2108,0.0820,0.4293,0.9054,0.0820,0.4293,,,
1,Line,0.0444,,,,,,,,,,,,,,,,90,0.0000,-3.5899,0.0000,0.9054,0.0820,0.4293,0.9054,0.1264,0.4293,,,
1,Line,0.0527,,,,,,,,,,,,,,,,151,3.7354,-2.0390,0.0000,1.6487,4.6392,0.9925,1.6025,4.6644,0.9925,,,
1,Line,0.2672,,,,,,,,,,,,,,,,110,-7.1833,20.0635,-3.4029,1.7071,4.6559,0.7755,1.7960,4.4075,0.8177,,,
