Count,Name,Length,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,2.1274,,,,,,,,,,,,,,0,16.2235,0.0000,0.0000,5.8211,4.6318,0.7449,3.6937,4.6318,0.7449
1,Line,2.1274,,,,,,,,,,,,,,0,16.2235,0.0000,0.0000,5.8211,6.8434,1.6195,3.6937,6.8434,1.6195
1,Line,0.0334,,,,,,,,,,,,,,90,0.0000,0.2316,0.1054,3.6363,6.7882,0.6251,3.6363,6.7578,0.6112
1,Line,0.6290,,,,,,,,,,,,,,90,0.0000,-0.8304,-4.7245,3.6363,6.6911,0.8834,3.6363,6.7999,1.5029
1,Line,0.5915,,,,,,,,,,,,,,90,0.0000,4.5105,0.0000,3.6363,6.7248,0.6065,3.6363,6.1334,0.6065
1,Line,0.0333,,,,,,,,,,,,,,90,0.0000,0.2513,0.0363,3.6363,6.7578,0.6112,3.6363,6.7248,0.6065
1,Line,0.0683,,,,,,,,,,,,,,148,0.4380,-0.2783,0.0451,3.6937,6.6546,0.8893,3.6363,6.6911,0.8834
1,Line,0.0737,,,,,,,,,,,,,,141,0.4380,-0.3514,-0.0132,3.6937,6.7772,1.5637,3.6363,6.8233,1.5655
1,Line,0.5577,,,,,,,,,,,,,,90,0.0000,-4.2528,0.0000,3.6363,6.1334,0.8834,3.6363,6.6911,0.8834
1,Line,0.0634,,,,,,,,,,,,,,156,0.4380,-0.1993,0.0451,3.6937,6.1072,0.8893,3.6363,6.1334,0.8834
1,Line,0.0676,,,,,,,,,,,,,,17,-0.4380,-0.1354,-0.2359,3.6363,6.9591,1.5039,3.6937,6.9769,1.5348
1,Line,0.0653,,,,,,,,,,,,,,152,-0.4380,0.2366,0.0118,3.6363,6.0114,0.7091,3.6937,5.9804,0.7076
1,Line,0.0369,,,,,,,,,,,,,,90,0.0000,0.0335,0.2796,3.6363,6.8512,0.7458,3.6363,6.8468,0.7091
1,Line,0.9411,,,,,,,,,,,,,,90,0.0000,0.2676,7.1714,3.6363,6.8233,1.5655,3.6363,6.7882,0.6251
1,Line,0.0622,,,,,,,,,,,,,,17,0.4380,0.1339,0.1234,3.6937,6.9660,1.5637,3.6363,6.9484,1.5475
1,Line,0.0653,,,,,,,,,,,,,,26,-0.4380,-0.2170,0.0969,3.6363,6.9484,1.5475,3.6937,6.9769,1.5348
1,Line,0.0613,,,,,,,,,,,,,,20,-0.4380,-0.1622,0.0118,3.6363,6.8468,0.7091,3.6937,6.8681,0.7076
1,Line,0.0611,,,,,,,,,,,,,,20,-0.4380,-0.1581,0.0227,3.6363,6.8343,0.6757,3.6937,6.8550,0.6727
1,Line,0.0685,,,,,,,,,,,,,,150,0.4380,-0.2551,0.1250,3.6937,6.7772,1.5637,3.6363,6.8106,1.5473
1,Line,0.0634,,,,,,,,,,,,,,156,-0.4380,0.1993,0.0451,3.6363,6.1334,0.6065,3.6937,6.1072,0.6006
1,Line,0.0643,,,,,,,,,,,,,,7,0.4380,0.0520,0.2141,3.6937,6.9261,1.6076,3.6363,6.9193,1.5795
1,Line,0.0679,,,,,,,,,,,,,,158,0.4380,-0.1726,0.2150,3.6937,6.8171,1.6076,3.6363,6.8397,1.5794
1,Line,0.0600,,,,,,,,,,,,,,16,-0.4380,-0.1249,0.0451,3.6363,6.7248,0.6065,3.6937,6.7412,0.6006
1,Line,0.0603,,,,,,,,,,,,,,17,-0.4380,-0.1329,0.0439,3.6363,6.7578,0.6112,3.6937,6.7752,0.6055
1,Line,0.0686,,,,,,,,,,,,,,148,0.4380,-0.2778,0.0655,3.6937,6.7663,1.5348,3.6363,6.8027,1.5262
1,Line,0.0660,,,,,,,,,,,,,,24,0.4380,0.1984,0.1477,3.6937,6.9261,1.6076,3.6363,6.9001,1.5882
1,Line,0.0654,,,,,,,,,,,,,,180,0.4380,-0.0021,0.2390,3.6937,6.8998,1.6195,3.6363,6.9001,1.5882
1,Line,0.0632,,,,,,,,,,,,,,13,0.4380,0.0984,0.1747,3.6937,6.9487,1.5885,3.6363,6.9358,1.5656
1,Line,0.0652,,,,,,,,,,,,,,27,0.4380,0.2242,0.0689,3.6937,6.9487,1.5885,3.6363,6.9193,1.5795
1,Line,0.0736,,,,,,,,,,,,,,142,0.4380,-0.3382,-0.0954,3.6937,6.7663,1.5348,3.6363,6.8106,1.5473
1,Line,0.0685,,,,,,,,,,,,,,147,0.4380,-0.2850,0.0072,3.6937,6.7626,1.5038,3.6363,6.7999,1.5029
1,Line,0.0649,,,,,,,,,,,,,,28,-0.4380,-0.2305,0.0145,3.6363,6.9358,1.5656,3.6937,6.9660,1.5637
1,Line,0.0616,,,,,,,,,,,,,,20,0.4380,0.1562,0.0638,3.6937,6.9769,1.5348,3.6363,6.9564,1.5265
1,Line,0.0665,,,,,,,,,,,,,,172,0.4380,-0.0602,0.2476,3.6937,6.8716,1.6236,3.6363,6.8795,1.5912
1,Line,0.0672,,,,,,,,,,,,,,19,0.4380,0.1550,0.2165,3.6937,6.8998,1.6195,3.6363,6.8795,1.5912
1,Line,0.0356,,,,,,,,,,,,,,90,0.0000,-0.2075,-0.1749,3.6937,6.8069,0.6199,3.6937,6.8341,0.6428
1,Line,0.0348,,,,,,,,,,,,,,90,0.0000,-0.2416,-0.1100,3.6937,6.7752,0.6055,3.6937,6.8069,0.6199
1,Line,0.0372,,,,,,,,,,,,,,90,0.0000,-0.1001,-0.2655,3.6937,6.8550,0.6727,3.6937,6.8681,0.7076
1,Line,0.0365,,,,,,,,,,,,,,90,0.0000,-0.1592,-0.2280,3.6937,6.8341,0.6428,3.6937,6.8550,0.6727
1,Line,0.4886,,,,,,,,,,,,,,0,3.7259,0.0000,0.0000,4.3551,6.6649,0.9483,3.8666,6.6649,0.9483
1,Line,0.4871,,,,,,,,,,,,,,90,0.0000,0.6430,3.6583,4.3551,6.7492,1.4280,4.3551,6.6649,0.9483
1,Line,0.0344,,,,,,,,,,,,,,90,0.0000,-0.2593,-0.0375,3.6937,6.7412,0.6006,3.6937,6.7752,0.6055
1,Line,0.6240,,,,,,,,,,,,,,90,0.0000,0.8237,4.6866,3.6937,6.7626,1.5038,3.6937,6.6546,0.8893
1,Line,2.1274,,,,,,,,,,,,,,0,16.2235,0.0000,0.0000,5.8211,6.9261,1.6076,3.6937,6.9261,1.6076
1,Line,2.1274,,,,,,,,,,,,,,0,16.2235,0.0000,0.0000,5.8211,6.9487,1.5885,3.6937,6.9487,1.5885
1,Line,2.1274,,,,,,,,,,,,,,0,16.2235,0.0000,0.0000,5.8211,6.8716,1.6236,3.6937,6.8716,1.6236
1,Line,2.1274,,,,,,,,,,,,,,0,16.2235,0.0000,0.0000,5.8211,6.8998,1.6195,3.6937,6.8998,1.6195
1,Line,2.1274,,,,,,,,,,,,,,0,16.2235,0.0000,0.0000,5.8211,6.9806,1.5038,3.6937,6.9806,1.5038
1,Line,0.0376,,,,,,,,,,,,,,90,0.0000,-0.0341,-0.2849,3.6937,6.8681,0.7076,3.6937,6.8726,0.7449
1,Line,2.1274,,,,,,,,,,,,,,0,16.2235,0.0000,0.0000,5.8211,6.9660,1.5637,3.6937,6.9660,1.5637
1,Line,2.1274,,,,,,,,,,,,,,0,16.2235,0.0000,0.0000,5.8211,6.9769,1.5348,3.6937,6.9769,1.5348
1,Line,0.4886,,,,,,,,,,,,,,180,-3.7259,0.0000,0.0000,3.8666,6.7492,1.4280,4.3551,6.7492,1.4280
1,Line,0.7658,,,,,,,,,,,,,,90,0.0000,0.8229,5.7816,3.6363,6.9591,1.5039,3.6363,6.8512,0.7458
1,Line,0.0613,,,,,,,,,,,,,,20,-0.4380,-0.1628,0.0064,3.6363,6.8512,0.7458,3.6937,6.8726,0.7449
1,Line,0.0715,,,,,,,,,,,,,,174,0.4380,-0.0471,0.3211,3.6937,6.8171,1.6076,3.6363,6.8233,1.5655
1,Line,0.0613,,,,,,,,,,,,,,20,-0.4380,-0.1637,0.0006,3.6363,6.9591,1.5039,3.6937,6.9806,1.5038
1,Line,0.0350,,,,,,,,,,,,,,90,0.0000,0.1526,0.2186,3.6363,6.8343,0.6757,3.6363,6.8142,0.6471
1,Line,0.0357,,,,,,,,,,,,,,90,0.0000,0.0959,0.2545,3.6363,6.8468,0.7091,3.6363,6.8343,0.6757
1,Line,0.0643,,,,,,,,,,,,,,154,0.4380,-0.2173,0.0394,3.6937,6.0416,0.8699,3.6363,6.0701,0.8648
1,Line,0.0638,,,,,,,,,,,,,,155,0.4380,-0.2073,0.0439,3.6937,6.0732,0.8844,3.6363,6.1004,0.8786
1,Line,0.0654,,,,,,,,,,,,,,151,-0.4380,0.2380,0.0000,3.6363,6.0071,0.7449,3.6937,5.9759,0.7449
1,Line,0.0735,,,,,,,,,,,,,,155,-0.4380,0.2039,0.2849,3.6363,6.0071,0.7449,3.6937,5.9804,0.7076
