Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.4978,,,,,,,,,,,,,,91,0.0001,-0.0048,-0.0006,15.3951,-9.5257,33.2403,15.3890,-9.0318,33.3024
1,Line,3.3572,,,,,,,,,,,,,,4,0.0324,0.0021,0.0037,9.3934,-16.0512,30.1178,6.0644,-16.2651,29.7393
1,Line,2.1094,,,,,,,,,,,,,,52,0.0123,0.0159,-0.0043,13.9263,-13.3979,35.4683,12.6629,-15.0286,35.9085
1,Line,5.2551,,,,,,,,,,,,,,1,0.0400,0.0008,0.0319,15.3951,-9.5257,33.2403,11.2834,-9.6082,29.9688
1,Line,0.7606,,,,,,,,,,,,,,2,-0.0049,-0.0002,0.0055,12.6629,-15.0286,35.9085,13.1711,-15.0107,35.3429
1,Line,4.7214,,,,,,,,,,,,,,43,0.0321,0.0304,0.0124,12.6629,-15.0286,35.9085,9.3643,-18.1555,34.6303
1,Line,4.9889,,,,,,,,,,,,,,40,-0.0371,-0.0306,-0.0069,9.3643,-18.1555,34.6303,13.1711,-15.0107,35.3429
1,Line,0.4876,,,,,,,,,,,,,,58,0.0024,0.0039,-0.0013,7.6408,-18.9990,33.0230,7.3949,-19.3976,33.1588
1,Line,3.0865,,,,,,,,,,,,,,172,-0.0146,0.0019,-0.0262,11.3881,-10.1192,30.1977,12.8868,-10.3176,32.8887
1,Line,3.4492,,,,,,,,,,,,,,151,0.0213,-0.0120,0.0230,13.3760,-13.5007,32.6937,11.1896,-12.2637,30.3300
1,Line,2.0435,,,,,,,,,,,,,,69,-0.0061,-0.0155,0.0110,6.0644,-16.2651,29.7393,6.6862,-14.6763,28.6146
1,Line,2.5031,,,,,,,,,,,,,,26,0.0168,0.0082,0.0157,9.3643,-18.1555,34.6303,7.6408,-18.9990,33.0230
1,Line,2.7543,,,,,,,,,,,,,,32,0.0192,0.0121,0.0143,9.3643,-18.1555,34.6303,7.3949,-19.3976,33.1588
1,Line,3.3563,,,,,,,,,,,,,,159,-0.0188,0.0071,-0.0257,11.3881,-10.1192,30.1977,13.3231,-10.8519,32.8404
1,Line,3.4305,,,,,,,,,,,,,,55,-0.0183,-0.0262,-0.0097,11.2943,-17.7038,34.3461,13.1711,-15.0107,35.3429
1,Line,2.4874,,,,,,,,,,,,,,169,0.0084,-0.0017,0.0227,13.3231,-10.8519,32.8404,12.4599,-10.6784,30.5141
1,Line,2.0025,,,,,,,,,,,,,,13,0.0188,0.0044,-0.0028,11.2943,-17.7038,34.3461,9.3643,-18.1555,34.6303
