Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0519,,,,,,,,,,,,,,,,39,0.0405,0.0325,0.0000,-0.2769,3.3467,0.4854,-0.3173,3.3142,0.4854
1,Line,0.0544,,,,,,,,,,,,,,,,33,-0.0454,-0.0299,0.0000,-0.2769,3.3467,0.4854,-0.2314,3.3766,0.4854
1,Line,0.0494,,,,,,,,,,,,,,,,45,0.0351,0.0347,0.0000,-0.3173,3.3166,0.5021,-0.3525,3.2819,0.5021
1,Line,0.0612,,,,,,,,,,,,,,,,20,-0.0576,-0.0207,0.0000,-0.1274,3.4195,0.4282,-0.0698,3.4403,0.4282
1,Line,0.0657,,,,,,,,,,,,,,,,9,-0.0649,-0.0098,0.0000,0.0538,3.4711,0.4282,0.1188,3.4809,0.4282
1,Line,0.0568,,,,,,,,,,,,,,,,28,-0.0500,-0.0271,0.0000,-0.2314,3.3790,0.5021,-0.1815,3.4061,0.5021
1,Line,0.0519,,,,,,,,,,,,,,,,39,-0.0405,-0.0325,0.0000,-0.3173,3.3166,0.5021,-0.2769,3.3490,0.5021
1,Line,0.0544,,,,,,,,,,,,,,,,33,-0.0454,-0.0299,0.0000,-0.2769,3.3490,0.5021,-0.2314,3.3790,0.5021
1,Line,0.3449,,,,,,,,,,,,,,,,173,0.3400,-0.0431,-0.0383,0.6053,1.1586,0.9797,0.2653,1.2017,1.0180
1,Arc,0.0153,0.0000,0.2653,0.9440,0.5601,0.5255,102,2,,,,,,,,,,,,,,,,,,
1,Line,0.3443,,,,,,,,,,,,,,,,176,0.3400,-0.0225,-0.0493,0.6053,1.1586,0.9797,0.2653,1.1811,1.0290
1,Line,0.3474,,,,,,,,,,,,,,,,3,0.3400,0.0200,-0.0685,0.6053,1.1586,0.9797,0.2653,1.1386,1.0482
1,Line,0.3452,,,,,,,,,,,,,,,,180,0.3400,-0.0015,-0.0594,0.6053,1.1586,0.9797,0.2653,1.1601,1.0391
1,Line,0.0152,,,,,,,,,,,,,,,,180,-0.0152,0.0000,0.0000,0.2500,1.0836,1.0637,0.2653,1.0836,1.0637
1,Line,0.3400,,,,,,,,,,,,,,,,0,0.3400,0.0000,0.0000,0.6053,1.3882,0.5034,0.2653,1.3882,0.5034
1,Line,0.0362,,,,,,,,,,,,,,,,90,0.0000,-0.0055,0.0358,0.4353,1.1586,0.9797,0.4353,1.1641,0.9439
