Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,,,,76,0.0000,0.0000,-0.0596,4.9627,11.2795,0.4311,0.0789,4.9627,11.2795,0.4853
1,Line,,,,,,,,,,,,,,70,0.0000,0.0000,0.0263,4.9627,11.2795,0.2393,0.0502,4.9627,11.2795,0.2154
1,Line,,,,,,,,,,,,,,73,0.0000,0.0000,0.0483,4.9627,11.2795,0.2833,0.0912,4.9627,11.2795,0.2393
1,Line,,,,,,,,,,,,,,72,0.0000,0.0000,-0.1036,4.9627,11.2795,0.3368,0.1385,4.9627,11.2795,0.4311
1,Line,,,,,,,,,,,,,,64,0.0000,0.0000,-0.0351,4.9627,11.2795,0.3048,0.0483,4.9627,11.2795,0.3368
1,Line,,,,,,,,,,,,,,143,0.0000,0.0000,-0.0946,4.9627,11.2795,0.3649,0.0912,4.9627,11.2795,0.4510
1,Line,,,,,,,,,,,,,,147,0.0000,0.0000,-0.0515,4.9627,11.2795,0.3181,0.0503,4.9627,11.2795,0.3649
1,Line,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,4.9627,11.2795,0.5380,0.0648,4.9627,11.2795,0.5380
1,Line,,,,,,,,,,,,,,125,0.0000,0.0000,-0.0956,4.9627,11.2795,0.4510,0.0899,4.9627,11.2795,0.5380
1,Line,,,,,,,,,,,,,,147,0.0000,0.0000,0.0515,4.9627,11.2795,0.3649,0.0502,4.9627,11.2795,0.3181
1,Line,,,,,,,,,,,,,,80,0.0000,0.0000,0.0365,4.9627,11.2795,0.3610,0.0953,4.9627,11.2795,0.3278
1,Line,,,,,,,,,,,,,,83,0.0000,0.0000,0.0041,4.9627,11.2795,0.3647,0.0106,4.9627,11.2795,0.3610
1,Line,,,,,,,,,,,,,,143,0.0000,0.0000,0.0946,4.9627,11.2795,0.4510,0.0912,4.9627,11.2795,0.3649
1,Line,,,,,,,,,,,,,,82,0.0000,0.0000,-0.0365,4.9627,11.2795,0.3278,0.0949,4.9627,11.2795,0.3610
1,Line,,,,,,,,,,,,,,131,0.0000,0.0000,0.0956,4.9627,11.2795,0.5380,0.0904,4.9627,11.2795,0.4510
1,Line,,,,,,,,,,,,,,99,0.0000,0.0000,0.0473,4.9627,11.2795,0.6654,0.0458,4.9627,11.2795,0.6223
1,Line,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,4.9627,11.2795,0.6654,0.0753,4.9627,11.2795,0.6654
1,Line,,,,,,,,,,,,,,122,0.0000,0.0000,0.0399,4.9627,11.2795,0.5149,0.0365,4.9627,11.2795,0.4786
1,Line,,,,,,,,,,,,,,131,0.0000,0.0000,-0.0399,4.9627,11.2795,0.4786,0.0366,4.9627,11.2795,0.5149
1,Line,,,,,,,,,,,,,,103,0.0000,0.0000,-0.0473,4.9627,11.2795,0.6223,0.0458,4.9627,11.2795,0.6654
1,Line,,,,,,,,,,,,,,74,0.0000,0.0000,0.0043,4.9627,11.2795,0.5293,0.0042,4.9627,11.2795,0.5253
1,Line,,,,,,,,,,,,,,100,0.0000,0.0000,0.1022,4.9627,11.2795,0.6223,0.0988,4.9627,11.2795,0.5293
1,Line,,,,,,,,,,,,,,104,0.0000,0.0000,-0.1022,4.9627,11.2795,0.5293,0.0990,4.9627,11.2795,0.6223
1,Line,,,,,,,,,,,,,,62,0.0000,0.0000,-0.0043,4.9627,11.2795,0.5253,0.0042,4.9627,11.2795,0.5293
1,Line,,,,,,,,,,,,,,85,0.0000,0.0000,0.0058,4.9627,11.2795,0.3700,0.0150,4.9627,11.2795,0.3647
1,Line,,,,,,,,,,,,,,84,0.0000,0.0000,-0.0306,4.9627,11.2795,0.6835,0.0458,4.9627,11.2795,0.7113
