Count,Name,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,,,,90,-0.2076,34.9247,2.9066,-107.0858,6393.7117,2198.0458,35.0461,-106.8782,6358.7869,2195.1392
1,Line,,,,,,,,,,,,,,91,-0.3061,34.8985,3.1941,-121.6744,6397.8051,2155.8921,35.0457,-121.3683,6362.9066,2152.6980
1,Line,,,,,,,,,,,,,,91,-5.9478,678.1213,62.0660,-128.0475,7124.4190,2222.3964,680.9816,-122.0997,6446.2977,2160.3305
1,Line,,,,,,,,,,,,,,91,-13.6901,678.2880,61.0068,-147.6362,7124.8415,2219.7166,681.1636,-133.9461,6446.5535,2158.7098
1,Line,,,,,,,,,,,,,,90,-0.1128,69.4868,6.9959,-194.5651,6677.5167,2006.0118,69.8382,-194.4523,6608.0299,1999.0159
1,Line,,,,,,,,,,,,,,90,-4.0300,677.8138,56.4117,-111.4092,7120.8768,2258.5648,680.1692,-107.3792,6443.0629,2202.1531
1,Line,,,,,,,,,,,,,,90,0.3196,57.7709,4.0827,-213.9390,6659.1248,2085.5346,57.9159,-214.2586,6601.3539,2081.4520
1,Line,,,,,,,,,,,,,,90,0.6380,115.3132,8.1492,-213.3010,6774.4380,2093.6838,115.6025,-213.9390,6659.1248,2085.5346
1,Line,,,,,,,,,,,,,,90,0.2695,48.7125,3.4425,-213.0315,6823.1505,2097.1263,48.8347,-213.3010,6774.4380,2093.6838
1,Line,,,,,,,,,,,,,,90,0.1142,32.9694,3.4735,-216.2791,6730.2417,2136.3983,33.1521,-216.3933,6697.2722,2132.9248
1,Line,,,,,,,,,,,,,,90,0.1645,47.4988,5.0042,-216.7283,6600.5607,2122.7357,47.7619,-216.8928,6553.0620,2117.7315
1,Line,,,,,,,,,,,,,,91,-0.7645,37.8776,3.4068,-131.4793,6324.3312,2147.7169,38.0382,-130.7148,6286.4536,2144.3101
1,Line,,,,,,,,,,,,,,90,0.3375,61.0047,4.3112,-214.7131,6519.2037,2075.6464,61.1578,-215.0506,6458.1990,2071.3352
