Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.6544,0.3597,-0.9852,7.6544,0.3597,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.8990,0.3795,-0.9852,7.8990,0.3795,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.9045,0.3928,-0.9852,7.9045,0.3928,,,,,,
1,Circle,,0.0034,-1.0182,7.8513,0.4070,0.0330,,,0.2073,0.0660,,,,,,,,,,,,,,,,
1,Circle,,0.0095,-0.9852,7.8513,0.4070,0.0550,,,0.3456,0.1100,,,,,,,,,,,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.9063,0.4070,-0.9852,7.9063,0.4070,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.8902,0.4459,-0.9852,7.8902,0.4459,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.8788,0.4546,-0.9852,7.8788,0.4546,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.9045,0.4212,-0.9852,7.9045,0.4212,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.8990,0.4345,-0.9852,7.8990,0.4345,,,,,,
1,Circle,,0.0095,-1.0182,7.8513,0.4070,0.0550,,,0.3456,0.1100,,,,,,,,,,,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,8.1143,0.3834,-1.0182,8.1143,0.3834,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,8.1114,0.4523,-1.0182,8.1114,0.4523,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,8.0672,0.2551,-1.0182,8.0672,0.2551,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,8.0992,0.3161,-1.0182,8.0992,0.3161,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,8.0908,0.5180,-1.0182,8.0908,0.5180,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,7.9422,0.6549,-1.0182,7.9422,0.6549,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,7.8749,0.6699,-1.0182,7.8749,0.6699,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,8.0539,0.5762,-1.0182,8.0539,0.5762,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,8.0032,0.6229,-1.0182,8.0032,0.6229,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.8656,0.4601,-0.9852,7.8656,0.4601,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.8513,0.3520,-0.9852,7.8513,0.3520,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.8656,0.3539,-0.9852,7.8656,0.3539,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.8238,0.3594,-0.9852,7.8238,0.3594,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.8371,0.3539,-0.9852,7.8371,0.3539,,,,,,
1,Line,0.0330,,,,,,,,,,180,-0.0330,0.0000,0.0000,-1.0182,7.8788,0.3594,-0.9852,7.8788,0.3594,,,,,,
1,Line,0.0220,,,,,,,,,,180,-0.0220,0.0000,0.0000,-1.0402,7.8513,0.4400,-1.0182,7.8513,0.4400,,,,,,
