Count,Name,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
1,Line,90,0.0000,1.4583,-1.0224,394.2396,-197.4303,13.8380,1.7810,394.2396,-198.8887,14.8605,,,,,,
1,Line,0,1.8504,0.0000,0.0000,394.2396,-198.3803,3.0545,1.8504,392.3892,-198.3803,3.0545,,,,,,
1,Line,90,0.0000,1.6146,0.7517,394.2396,-198.3803,3.0545,1.7810,394.2396,-199.9949,2.3027,,,,,,
1,Line,90,0.0000,0.5540,-1.9807,140.0664,-252.2994,8.5780,2.0567,140.0664,-252.8534,10.5587,,,,,,
1,Line,90,0.0000,0.0225,-2.0566,140.0664,-252.8534,10.5587,2.0567,140.0664,-252.8759,12.6153,,,,,,
1,Line,90,0.0000,-0.5106,-1.9923,140.0664,-252.8759,12.6153,2.0567,140.0664,-252.3653,14.6076,,,,,,
1,Line,90,0.0000,-1.4383,-1.4701,140.0664,-251.3565,16.3999,2.0567,140.0664,-249.9182,17.8700,,,,,,
1,Line,90,0.0000,1.4701,-1.4383,140.0664,-249.7816,5.3699,2.0567,140.0664,-251.2517,6.8082,,,,,,
1,Line,90,0.0000,-1.7698,-1.0477,140.0664,-249.9182,17.8700,2.0567,140.0664,-248.1483,18.9177,,,,,,
1,Line,90,0.0000,0.1563,1.7742,394.2396,-195.2264,9.1042,1.7810,394.2396,-195.3826,7.3301,,,,,,
1,Line,90,0.0000,0.6101,1.6733,394.2396,-195.3826,7.3301,1.7810,394.2396,-195.9928,5.6568,,,,,,
1,Line,90,0.0000,0.7517,-1.6146,394.2396,-195.5346,10.8584,1.7810,394.2396,-196.2863,12.4730,,,,,,
1,Line,180,-1.8504,0.0000,0.0000,392.3892,-195.5346,10.8584,1.8504,394.2396,-195.5346,10.8584,,,,,,
1,Line,90,0.0000,0.3082,-1.7542,394.2396,-195.2264,9.1042,1.7810,394.2396,-195.5346,10.8584,,,,,,
1,Line,180,-1.8504,0.0000,0.0000,392.3892,-195.2264,9.1042,1.8504,394.2396,-195.2264,9.1042,,,,,,
1,Line,0,1.8504,0.0000,0.0000,394.2396,-195.3826,7.3301,1.8504,392.3892,-195.3826,7.3301,,,,,,
