Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,3.0528,,,,,,,,180,-3.0528,0.0000,0.0000,-6.0424,66.3281,6.9728,-2.9897,66.3281,6.9728
1,Line,0.2131,,,,,,,,270,0.0000,-0.2131,0.0000,-7.0217,67.6181,-0.0492,-7.0217,67.8311,-0.0492
1,Arc,2.7772,1.2275,-1.9817,129.0161,-1.0782,0.8840,0,180,,,,,,,,,,
1,Line,35.0678,,,,,,,,90,0.0000,35.0678,0.0000,-1.9817,117.9029,-1.0782,-1.9817,82.8351,-1.0782
1,Line,5.0400,,,,,,,,180,-5.0400,0.0000,0.0000,-7.0217,117.9029,-1.0782,-1.9817,117.9029,-1.0782
1,Line,1.0290,,,,,,,,0,0.0000,0.0000,-1.0290,-1.9817,117.9029,-1.0782,-1.9817,117.9029,-0.0492
1,Arc,3.0693,1.4994,-7.0217,71.8629,-1.0782,0.9770,0,180,,,,,,,,,,
1,Arc,3.0725,1.5024,-1.9817,79.8071,-1.0782,0.9780,0,180,,,,,,,,,,
1,Line,5.0400,,,,,,,,180,-5.0400,0.0000,0.0000,-7.0217,117.9029,-0.0492,-1.9817,117.9029,-0.0492
1,Line,0.0254,,,,,,,,180,-0.0254,0.0000,0.0000,-9.0550,82.8351,-0.0492,-9.0297,82.8351,-0.0492
1,Line,15.0040,,,,,,,,90,0.0114,15.0040,0.0000,-9.0550,82.8351,-0.0492,-9.0664,67.8311,-0.0492
1,Line,1.0290,,,,,,,,0,0.0000,0.0000,-1.0290,-7.0217,117.9029,-1.0782,-7.0217,117.9029,-0.0492
1,Line,0.0051,,,,,,,,270,0.0000,-0.0051,0.0000,-9.0297,82.8300,-0.0492,-9.0297,82.8351,-0.0492
1,Arc,3.0850,1.5148,-7.0217,79.8071,-1.0782,0.9820,0,180,,,,,,,,,,
1,Line,33.4320,,,,,,,,270,0.0000,-33.4320,0.0000,-9.0297,82.8351,-0.0492,-9.0297,116.2671,-0.0492
1,Line,5.0400,,,,,,,,180,-5.0400,-0.0051,0.0000,-7.0217,82.8300,-0.0492,-1.9817,82.8351,-0.0492
1,Line,35.0678,,,,,,,,90,0.0000,35.0678,0.0000,-1.9817,117.9029,-0.0492,-1.9817,82.8351,-0.0492
1,Line,33.4320,,,,,,,,90,0.0254,33.4320,0.0000,-9.0297,116.2671,-0.0492,-9.0550,82.8351,-0.0492
1,Line,1.0290,,,,,,,,0,0.0000,0.0000,-1.0290,-7.0217,82.8300,-1.0782,-7.0217,82.8300,-0.0492
1,Line,3.0620,,,,,,,,270,0.0000,-3.0620,0.0000,-7.0217,67.8311,-1.0782,-7.0217,70.8931,-1.0782
1,Line,6.0003,,,,,,,,270,0.0000,-6.0003,0.0000,-7.0217,72.8326,-1.0782,-7.0217,78.8329,-1.0782
1,Line,5.0400,,,,,,,,0,5.0400,0.0051,0.0000,-1.9817,82.8351,-1.0782,-7.0217,82.8300,-1.0782
1,Line,1.0290,,,,,,,,0,0.0000,0.0000,1.0290,-1.9817,82.8351,-0.0492,-1.9817,82.8351,-1.0782
1,Line,3.0980,,,,,,,,270,0.0000,-3.0980,0.0000,-9.0336,107.9743,4.9358,-9.0336,111.0723,4.9358
1,Line,2.8262,,,,,,,,0,1.9968,-0.0015,2.0000,-7.0217,131.0311,8.9728,-9.0184,131.0327,6.9728
1,Line,2.9710,,,,,,,,269,-0.0470,-2.9707,0.0000,-9.0655,128.0677,4.9358,-9.0184,131.0383,4.9358
1,Line,14.1323,,,,,,,,270,-0.0126,-14.1323,0.0000,-7.0217,117.9029,-0.0492,-7.0090,132.0352,-0.0492
1,Line,2.0471,,,,,,,,90,0.0018,2.0471,0.0000,-7.0198,119.9500,-1.0782,-7.0217,117.9029,-1.0782
