Count,Name,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,5.5000,,,,,,,,,,,,0,0.0000,0.0000,-5.5000,537.2785,209.7416,20.0961,537.2785,209.7416,25.5961
1,Line,,,,,8.2500,,,,,,,,,,,,180,-8.2500,0.0000,0.0000,528.2785,208.9916,20.0961,536.5285,208.9916,20.0961
1,Line,,,,,8.2500,,,,,,,,,,,,180,-8.2500,0.0000,0.0000,528.2785,210.4916,20.0961,536.5285,210.4916,20.0961
1,Line,,,,,37.3505,,,,,,,,,,,,90,0.0000,37.3505,0.0000,536.9035,209.0921,24.9466,536.9035,171.7416,24.9466
1,Line,,,,,37.3505,,,,,,,,,,,,90,0.0000,37.3505,0.0000,536.1535,209.0921,24.9466,536.1535,171.7416,24.9466
1,Line,,,,,8.2500,,,,,,,,,,,,180,-8.2500,0.0000,0.0000,528.2785,209.3666,20.7456,536.5285,209.3666,20.7456
1,Line,,,,,8.2500,,,,,,,,,,,,180,-8.2500,0.0000,0.0000,528.2785,210.1166,20.7456,536.5285,210.1166,20.7456
1,Line,,,,,8.2500,,,,,,,,,,,,180,-8.2500,0.0000,0.0000,528.2785,210.1166,19.4466,536.5285,210.1166,19.4466
1,Line,,,,,8.2500,,,,,,,,,,,,180,-8.2500,0.0000,0.0000,528.2785,209.3666,19.4466,536.5285,209.3666,19.4466
1,Line,,,,,14.6967,,,,,,,,,,,,80,-2.4481,-13.9848,-3.7979,148.9479,117.9360,112.6940,151.3960,131.9208,116.4920
1,Line,,,,,40.6920,,,,,,,,,,,,90,0.0000,-40.6920,0.0000,122.9578,158.7416,46.7029,122.9578,199.4336,46.7029
1,Line,,,,,37.9083,,,,,,,,,,,,5,-20.5174,-1.7057,-31.8303,128.4305,197.8415,80.8638,148.9479,199.5472,112.6940
1,Line,,,,,44.9762,,,,,,,,,,,,90,0.0000,-44.9762,0.0000,131.9759,158.7416,16.3730,131.9759,203.7178,16.3730
1,Line,,,,,44.8427,,,,,,,,,,,,90,0.0000,-44.8427,0.0000,133.2367,158.7416,21.3172,133.2367,203.5843,21.3172
