Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,90,-0.0001,2.6564,0.0000,-26.9842,46.4831,8.5623,2.6564,-26.9841,43.8267,8.5623
1,Line,,,,,,,41,1.4561,1.2520,1.2894,-25.5279,43.5212,9.8517,2.3131,-26.9840,42.2692,8.5623
1,Line,,,,,,,61,1.4561,2.6519,1.2894,-25.5279,43.5212,9.8517,3.2887,-26.9840,40.8693,8.5623
1,Line,,,,,,,69,1.4561,3.8844,1.2894,-25.5279,43.5212,9.8517,4.3441,-26.9840,39.6368,8.5623
1,Line,,,,,,,90,0.0001,-5.5031,0.0000,-25.5278,38.3140,9.8517,5.5031,-25.5279,43.8171,9.8517
1,Line,,,,,,,90,-0.0002,8.1692,0.0000,-25.5280,46.4832,9.8517,8.1692,-25.5278,38.3140,9.8517
1,Line,,,,,,,0,-1.4562,-0.0097,-1.2894,-26.9841,43.5115,8.5623,1.9450,-25.5279,43.5212,9.8517
1,Line,,,,,,,59,-1.4561,-2.4649,-1.2894,-26.9839,38.4044,8.5623,3.1399,-25.5278,40.8693,9.8517
1,Line,,,,,,,90,0.0000,1.3999,0.0000,-25.5279,42.2692,9.8517,1.3999,-25.5278,40.8693,9.8517
1,Line,,,,,,,69,-1.4561,-3.8649,-1.2894,-26.9839,38.4044,8.5623,4.3266,-25.5279,42.2692,9.8517
1,Line,,,,,,,74,1.4560,5.1168,1.2894,-25.5279,43.5212,9.8517,5.4740,-26.9839,38.4044,8.5623
1,Line,,,,,,,0,1.4562,0.0000,1.2894,-25.5278,38.4044,9.8517,1.9450,-26.9839,38.4044,8.5623
1,Line,,,,,,,90,-0.0001,2.4649,0.0000,-25.5278,40.8693,9.8517,2.4649,-25.5278,38.4044,9.8517
1,Line,,,,,,,0,-1.4562,0.0000,-1.2894,-26.9842,46.4831,8.5623,1.9450,-25.5280,46.4832,9.8517
1,Line,,,,,,,151,-1.4562,0.8064,-1.2894,-26.9842,47.2896,8.5623,2.1056,-25.5280,46.4832,9.8517
1,Line,,,,,,,90,0.0000,-0.8065,0.0000,-26.9842,46.4831,8.5623,0.8065,-26.9842,47.2896,8.5623
1,Line,,,,,,,90,0.0002,-8.1692,0.0000,-26.9839,38.3140,8.5623,8.1692,-26.9842,46.4831,8.5623
1,Line,,,,,,,90,-0.0001,5.5128,0.0000,-26.9841,43.8267,8.5623,5.5128,-26.9839,38.3140,8.5623
1,Line,,,,,,,61,1.4561,2.6564,1.2894,-25.5280,46.4832,9.8517,3.2923,-26.9841,43.8267,8.5623
1,Line,,,,,,,90,0.0000,-0.6489,0.0000,-26.9842,47.2896,8.5623,0.6489,-26.9842,47.9384,8.5623
1,Line,,,,,,,180,1.4562,-0.0096,1.2894,-25.5279,43.8171,9.8517,1.9450,-26.9841,43.8267,8.5623
1,Line,,,,,,,90,-0.0001,2.6661,0.0000,-25.5280,46.4832,9.8517,2.6661,-25.5279,43.8171,9.8517
1,Line,,,,,,,90,0.0000,1.4650,0.0000,-25.5280,47.9481,9.8517,1.4650,-25.5280,46.4832,9.8517
1,Line,,,,,,,24,-1.4562,-0.6586,-1.2894,-26.9842,47.2896,8.5623,2.0535,-25.5280,47.9481,9.8517
1,Line,,,,,,,0,-1.4562,-0.0097,-1.2894,-26.9842,47.9384,8.5623,1.9450,-25.5280,47.9481,9.8517
1,Line,,,,,,,90,-0.0003,-1.9324,1.0174,-12.7848,67.7234,8.5930,2.1839,-12.7845,69.6559,7.5756
1,Line,,,,,,,107,1.0965,-3.4986,-1.2886,-12.7824,48.9029,8.5665,3.8862,-13.8788,52.4014,9.8551
1,Line,,,,,,,90,0.0001,-2.6921,0.0000,-13.8788,49.7093,9.8551,2.6921,-13.8788,52.4014,9.8551
1,Line,,,,,,,144,1.0964,-0.8064,-1.2887,-12.7824,48.9029,8.5665,1.8743,-13.8788,49.7093,9.8551
1,Line,,,,,,,102,1.0965,-5.3842,-1.2887,-12.7824,49.7093,8.5665,5.6438,-13.8789,55.0935,9.8551
1,Line,,,,,,,100,1.0965,-6.1907,-1.2887,-12.7824,48.9029,8.5665,6.4177,-13.8789,55.0935,9.8551
1,Line,,,,,,,90,0.0001,-2.6921,0.0000,-13.8788,52.4014,9.8551,2.6921,-13.8789,55.0935,9.8551
1,Line,,,,,,,0,-1.0964,0.0000,1.2887,-13.8787,46.4835,9.8551,1.6919,-12.7823,46.4835,8.5665
1,Line,,,,,,,112,1.0964,-2.6564,-1.2887,-12.7823,43.8271,8.5665,3.1495,-13.8787,46.4835,9.8551
1,Line,,,,,,,127,-1.0964,1.4650,1.2887,-13.8787,47.9484,9.8551,2.2380,-12.7823,46.4835,8.5665
1,Line,,,,,,,90,0.0000,-1.4650,0.0000,-13.8787,48.2443,9.8551,1.4650,-13.8788,49.7093,9.8551
1,Line,,,,,,,31,1.0963,0.6586,-1.2886,-12.7824,48.9029,8.5665,1.8156,-13.8787,48.2443,9.8551
1,Line,,,,,,,1,1.0964,0.0097,-1.2886,-12.7824,48.2540,8.5665,1.6920,-13.8787,48.2443,9.8551
1,Line,,,,,,,2,1.0652,0.0392,-1.2887,-12.7846,60.4778,8.5930,1.6724,-13.8498,60.4386,9.8817
1,Line,,,,,,,68,-1.0651,-2.6958,1.2887,-13.8498,60.4386,9.8817,3.1722,-12.7847,63.1344,8.5930
1,Line,,,,,,,79,-1.0650,-5.3524,1.2887,-13.8498,60.4386,9.8817,5.6075,-12.7847,65.7910,8.5930
1,Line,,,,,,,77,-1.0962,-4.7322,1.2886,-13.8807,87.7575,9.8633,5.0256,-12.7845,92.4898,8.5747
1,Line,,,,,,,0,-1.0964,0.0000,1.2886,-13.8808,92.4898,9.8633,1.6919,-12.7845,92.4898,8.5747
1,Line,,,,,,,90,0.0001,-4.7322,0.0000,-13.8807,87.7575,9.8633,4.7322,-13.8808,92.4898,9.8633
