Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,2.7641,,,,,,,,,,0,2.7641,0.0000,0.0000,5.3737,13.7282,64.2639,2.6096,13.7282,64.2639
1,Line,,,,,,,8.2108,,,,,,,,,,0,8.2108,0.0000,0.0000,2.6096,13.7282,64.2639,-5.6013,13.7282,64.2639
1,Line,,,,,,,1.1991,,,,,,,,,,0,0.0000,0.0000,1.1991,5.3377,13.7641,65.4630,5.3377,13.7641,64.2639
1,Line,,,,,,,2.7282,,,,,,,,,,180,-2.7282,0.0000,0.0000,2.6096,13.7641,65.4630,5.3377,13.7641,65.4630
1,Line,,,,,,,1.1991,,,,,,,,,,0,0.0000,0.0000,1.1991,2.6096,13.7641,65.4630,2.6096,13.7641,64.2639
1,Line,,,,,,,11.3975,,,,,,,,,,90,0.0000,11.3975,0.0000,5.3737,25.1256,64.2639,5.3737,13.7282,64.2639
1,Line,,,,,,,27.3439,,,,,,,,,,0,27.3439,0.0000,0.0000,13.8208,29.0080,-13.4639,-13.5231,29.0080,-13.4639
1,Line,,,,,,,27.3439,,,,,,,,,,0,27.3439,0.0000,0.0000,13.8208,8.4173,-13.4639,-13.5231,8.4173,-13.4639
1,Line,,,,,,,30.1999,,,,,,,,,,0,3.3301,0.0000,-30.0157,13.8208,29.0080,-13.4639,10.4907,29.0080,16.5518
1,Line,,,,,,,25.2341,,,,,,,,,,180,-3.3008,0.0000,-25.0173,-10.6724,10.0042,-10.9647,-7.3717,10.0042,14.0526
1,Line,,,,,,,15.6251,,,,,,,,,,180,-15.6251,0.0000,0.0000,-7.3717,10.0042,14.0526,8.2534,10.0042,14.0526
1,Line,,,,,,,25.1708,,,,,,,,,,180,-2.7756,0.0000,25.0173,8.2534,10.0042,14.0526,11.0290,10.0042,-10.9647
1,Line,,,,,,,20.5907,,,,,,,,,,90,0.0000,20.5907,0.0000,13.8208,29.0080,-13.4639,13.8208,8.4173,-13.4639
1,Line,,,,,,,1.5869,,,,,,,,,,90,0.0000,1.5869,0.0000,11.0290,10.0042,-10.9647,11.0290,8.4173,-10.9647
