Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,8.1675,,,,,,,0,0.0000,0.0000,-8.1675,939.3702,155.4348,152.1575,939.3702,155.4348,160.3250
1,Line,5.4450,,,,,,,0,0.0000,0.0000,5.4450,939.3702,158.1573,160.3250,939.3702,158.1573,154.8800
1,Line,5.4450,,,,,,,90,0.0000,5.4450,0.0000,716.1263,190.8272,157.8384,716.1263,185.3822,157.8384
1,Line,5.4450,,,,,,,180,-5.4450,0.0000,0.0000,171.6289,231.6644,176.6599,177.0738,231.6644,176.6599
1,Line,6.7641,,,,,,,180,-3.0250,0.0000,6.0500,129.2790,202.5977,59.5930,132.3040,202.5977,53.5430
1,Line,78.9521,,,,,,,0,0.0000,0.0000,-78.9521,171.6289,231.6644,97.7078,171.6289,231.6644,176.6599
1,Line,3.5409,,,,,,,86,0.2644,3.4728,-0.6382,876.8983,67.6834,30.0339,876.6340,64.2106,30.6721
1,Line,27.2249,,,,,,,0,0.0000,0.0000,27.2249,132.3040,202.5977,53.5430,132.3040,202.5977,26.3181
1,Line,3.5409,,,,,,,90,0.0000,1.9672,2.9441,338.0030,226.1068,34.9452,338.0030,224.1396,32.0011
1,Line,32.6698,,,,,,,0,0.0000,0.0000,32.6698,306.3920,68.3152,220.2197,306.3920,68.3152,187.5499
1,Line,9.0750,,,,,,,180,-9.0750,0.0000,0.0000,132.3040,202.5977,26.3181,141.3790,202.5977,26.3181
1,Line,24.3882,,,,,,,0,3.0250,0.0000,-24.1999,141.3790,202.5977,26.3181,138.3540,202.5977,50.5180
1,Line,49.0048,,,,,,,0,0.0000,0.0000,49.0048,57.2844,158.1573,152.1575,57.2844,158.1573,103.1528
1,Line,5.4450,,,,,,,0,5.4450,0.0000,0.0000,62.7294,158.1573,152.1575,57.2844,158.1573,152.1575
1,Line,2.9044,,,,,,,0,0.0000,0.0000,-2.9044,185.2413,220.7745,184.6455,185.2413,220.7745,187.5499
1,Line,5.4450,,,,,,,180,-5.4450,0.0000,0.0000,57.2844,158.1573,103.1528,62.7294,158.1573,103.1528
1,Line,5.4450,,,,,,,0,0.0000,0.0000,5.4450,939.3702,158.1573,111.3202,939.3702,158.1573,105.8752
1,Line,13.2331,,,,,,,22,12.0999,4.9500,2.0504,286.5782,68.7867,58.1705,274.4783,63.8367,56.1201
1,Line,2.7225,,,,,,,90,0.0000,2.7225,0.0000,171.6289,234.3869,176.6599,171.6289,231.6644,176.6599
1,Line,40.6260,,,,,,,270,0.0000,-40.6260,0.0000,680.7339,121.5094,269.0801,680.7339,162.1354,269.0801
1,Line,1.4503,,,,,,,270,0.0000,-0.2829,1.4225,286.5782,68.5037,59.5930,286.5782,68.7867,58.1705
1,Line,19.0574,,,,,,,0,19.0574,0.0000,0.0000,196.1312,231.6644,176.6599,177.0738,231.6644,176.6599
1,Line,3.0250,,,,,,,0,0.0000,0.0000,3.0250,162.5539,222.2601,53.5430,162.5539,222.2601,50.5180
1,Line,3.5409,,,,,,,281,0.6908,-3.4728,0.0000,189.7787,217.7226,38.4181,189.0879,221.1955,38.4181
1,Line,2.5038,,,,,,,0,2.0819,0.0000,-1.3910,870.9698,224.1396,32.4895,868.8880,224.1396,33.8806
1,Line,21.8135,,,,,,,180,-12.0999,0.0000,18.1499,192.8037,222.2601,50.5180,204.9037,222.2601,32.3681
1,Line,84.6995,,,,,,,0,84.6995,0.0000,0.0000,301.7032,222.2601,26.3181,217.0036,222.2601,26.3181
1,Line,3.0250,,,,,,,0,0.0000,0.0000,-3.0250,356.1529,222.2601,50.5180,356.1529,222.2601,53.5430
1,Line,6.4738,,,,,,,180,-5.1425,0.0000,3.9325,204.9037,222.2601,32.3681,210.0462,222.2601,28.4356
1,Line,7.2725,,,,,,,180,-6.9574,0.0000,2.1175,210.0462,222.2601,28.4356,217.0036,222.2601,26.3181
1,Line,6.7641,,,,,,,180,-6.0500,0.0000,3.0250,132.3040,195.0353,65.6429,138.3540,195.0353,62.6180
1,Line,6.0500,,,,,,,0,0.0000,0.0000,6.0500,138.3540,195.0353,62.6180,138.3540,195.0353,56.5680
1,Line,13.2331,,,,,,,343,12.0999,-3.7886,-3.7886,779.6509,65.8039,53.1760,767.5510,69.5925,56.9646
1,Line,9.0750,,,,,,,0,9.0750,0.0000,0.0000,141.3790,195.0353,20.2682,132.3040,195.0353,20.2682
1,Line,24.3882,,,,,,,180,-3.0250,0.0000,24.1999,138.3540,195.0353,50.5180,141.3790,195.0353,26.3181
1,Line,5.4450,,,,,,,0,5.4450,0.0000,0.0000,939.3702,171.7698,130.3776,933.9252,171.7698,130.3776
1,Line,3.5409,,,,,,,270,0.0000,-3.4728,-0.6908,338.0030,217.7227,29.3431,338.0030,221.1955,30.0339
1,Line,6.0500,,,,,,,0,0.0000,0.0000,6.0500,141.3790,195.0353,26.3181,141.3790,195.0353,20.2682
1,Line,2.5038,,,,,,,0,0.4885,0.0000,-2.4557,867.4970,224.1396,35.9624,867.0085,224.1396,38.4180
1,Line,3.5409,,,,,,,270,0.0000,-3.4728,-0.6908,244.2285,68.7480,67.9771,244.2285,72.2208,68.6679
1,Line,29.7361,,,,,,,90,0.0000,29.7361,0.0000,667.1215,156.6904,269.0801,667.1215,126.9543,269.0801
1,Line,3.5409,,,,,,,266,-0.2644,-3.4728,0.6382,334.5302,217.7227,46.8022,334.7945,221.1955,46.1640
1,Line,228.6889,,,,,,,180,-228.6889,0.0000,0.0000,716.1263,124.0406,276.7363,944.8152,124.0406,276.7363
1,Line,72.5996,,,,,,,180,-72.5996,0.0000,0.0000,223.0536,217.7226,38.4181,295.6532,217.7227,38.4181
1,Line,5.4450,,,,,,,180,-5.4450,0.0000,0.0000,933.9252,158.1573,130.3776,939.3702,158.1573,130.3776
1,Line,27.8890,,,,,,,180,-21.1749,0.0000,18.1499,201.8787,217.7226,56.5680,223.0536,217.7226,38.4181
1,Line,3.5409,,,,,,,262,-0.4884,-3.4728,0.4885,331.5861,217.7227,44.8350,332.0745,221.1955,44.3466
1,Line,2.5239,,,,,,,90,0.0000,0.7799,-2.4004,168.2007,138.5186,249.1279,168.2007,137.7386,251.5283
1,Line,5.1336,,,,,,,180,-3.6300,0.0000,3.6300,198.2487,217.7226,60.1980,201.8787,217.7226,56.5680
1,Line,30.2499,,,,,,,0,24.1999,0.0000,18.1499,319.8531,217.7227,65.6429,295.6532,217.7227,47.4930
1,Line,9.0749,,,,,,,0,0.0000,0.0000,-9.0749,295.6532,217.7227,38.4181,295.6532,217.7227,47.4930
1,Line,5.4450,,,,,,,90,0.0000,5.4450,0.0000,716.1263,190.8272,163.0475,716.1263,185.3822,163.0475
1,Line,4.5375,,,,,,,90,0.0000,4.5375,0.0000,831.0757,72.2209,47.4930,831.0757,67.6834,47.4930
