Count,Name,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,3.0096,,,,0,3.0096,0.0000,0.0000,14.4941,-3.4265,0.7132,11.4845,-3.4265,0.7132
1,Line,,,,,3.0096,,,,0,3.0096,0.0000,0.0000,14.4941,-3.3575,0.7132,11.4845,-3.3575,0.7132
1,Line,,,,,1.7942,,,,0,1.7942,0.0000,0.0000,8.0788,-2.8288,2.7085,6.2846,-2.8288,2.7085
1,Line,,,,,3.6192,,,,0,3.6192,0.0000,0.0000,9.9038,-2.5824,2.7238,6.2846,-2.5824,2.7238
1,Line,,,,,0.7624,,,,0,0.7624,0.0000,0.0000,11.4020,-2.6441,2.7219,10.6396,-2.6441,2.7219
1,Line,,,,,0.6228,,,,0,0.6228,0.0000,0.0000,10.6295,-2.7673,2.7142,10.0068,-2.7673,2.7142
1,Line,,,,,0.7876,,,,0,0.7876,0.0000,0.0000,11.4094,-2.2125,2.7085,10.6218,-2.2125,2.7085
1,Line,,,,,0.9860,,,,0,0.9860,0.0000,0.0000,11.4845,-3.3575,0.7132,10.4985,-3.3575,0.7132
1,Line,,,,,3.7453,,,,0,3.7453,0.0000,0.0000,10.5050,-3.3422,0.1384,6.7597,-3.3422,0.1384
1,Line,,,,,0.4106,,,,0,0.4106,0.0000,0.0000,6.4313,-3.2367,0.0677,6.0207,-3.2367,0.0677
1,Line,,,,,0.9860,,,,0,0.9860,0.0000,0.0000,11.4845,-3.4265,0.7132,10.4985,-3.4265,0.7132
1,Line,,,,,0.1030,,,,0,0.1030,0.0000,0.0000,10.0068,-2.7673,2.7142,9.9038,-2.7673,2.7142
1,Line,,,,,0.7461,,,,0,0.7461,0.0000,0.0000,6.2846,-2.8288,2.7085,5.5385,-2.8288,2.7085
1,Line,,,,,0.0692,,,,0,0.0692,0.0000,0.0000,4.7719,-2.8901,2.7014,4.7027,-2.8901,2.7014
1,Line,,,,,0.1030,,,,0,0.1030,0.0000,0.0000,10.0068,-2.1511,2.7014,9.9038,-2.1511,2.7014
1,Line,,,,,1.8250,,,,0,1.8250,0.0000,0.0000,9.9038,-2.1511,2.7014,8.0788,-2.1511,2.7014
1,Line,,,,,1.7942,,,,0,1.7942,0.0000,0.0000,8.0788,-2.1511,2.7014,6.2846,-2.1511,2.7014
1,Line,,,,,3.0096,,,,0,3.0096,0.0000,0.0000,14.4941,-1.5506,0.7041,11.4845,-1.5506,0.7041
1,Line,,,,,0.0281,,,,0,0.0281,0.0000,0.0000,12.2814,-1.7533,-0.0089,12.2533,-1.7533,-0.0089
1,Line,,,,,3.8807,,,,0,3.8807,0.0000,0.0000,14.6193,-1.6516,0.4401,10.7386,-1.6516,0.4401
1,Line,,,,,3.0096,,,,0,3.0096,0.0000,0.0000,14.4941,-1.6516,0.7041,11.4845,-1.6516,0.7041
1,Line,,,,,0.1084,,,,0,0.1084,0.0000,0.0000,6.2768,-3.2367,-0.0033,6.1684,-3.2367,-0.0033
1,Line,,,,,0.7783,,,,0,0.7783,0.0000,0.0000,12.2522,-2.2125,2.7085,11.4739,-2.2125,2.7085
1,Line,,,,,0.7741,,,,0,0.7741,0.0000,0.0000,12.2481,-2.2739,2.7142,11.4739,-2.2739,2.7142
1,Line,,,,,0.0918,,,,0,0.0918,0.0000,0.0000,12.3344,-2.3972,2.7219,12.2425,-2.3972,2.7219
1,Line,,,,,0.8010,,,,0,0.8010,0.0000,0.0000,11.4133,-2.1511,2.7014,10.6123,-2.1511,2.7014
1,Line,,,,,0.7049,,,,0,0.7049,0.0000,0.0000,11.4668,-3.3422,0.1384,10.7619,-3.3422,0.1384
1,Line,,,,,0.4221,,,,0,0.4221,0.0000,0.0000,11.2447,-3.2367,0.0677,10.8226,-3.2367,0.0677
1,Line,,,,,0.0296,,,,0,0.0296,0.0000,0.0000,11.4429,-2.1511,2.7014,11.4133,-2.1511,2.7014
1,Line,,,,,0.0645,,,,0,0.0645,0.0000,0.0000,11.4739,-2.8288,2.7085,11.4094,-2.8288,2.7085
1,Line,,,,,1.8250,,,,0,1.8250,0.0000,0.0000,9.9038,-2.8901,2.7014,8.0788,-2.8901,2.7014
1,Line,,,,,1.7942,,,,0,1.7942,0.0000,0.0000,8.0788,-2.8901,2.7014,6.2846,-2.8901,2.7014
1,Line,,,,,0.0677,,,,0,0.0677,0.0000,0.0000,11.4739,-2.7673,2.7142,11.4062,-2.7673,2.7142
1,Line,,,,,0.0730,,,,0,0.0730,0.0000,0.0000,11.4739,-2.4589,2.7238,11.4009,-2.4589,2.7238
1,Line,,,,,0.1030,,,,0,0.1030,0.0000,0.0000,10.0068,-2.5824,2.7238,9.9038,-2.5824,2.7238
1,Line,,,,,0.7686,,,,0,0.7686,0.0000,0.0000,12.2425,-2.6441,2.7219,11.4739,-2.6441,2.7219
1,Line,,,,,0.7405,,,,0,0.7405,0.0000,0.0000,6.2846,-2.8901,2.7014,5.5441,-2.8901,2.7014
1,Line,,,,,0.0645,,,,0,0.0645,0.0000,0.0000,11.4739,-2.2125,2.7085,11.4094,-2.2125,2.7085
1,Line,,,,,0.0677,,,,0,0.0677,0.0000,0.0000,11.4739,-2.2739,2.7142,11.4062,-2.2739,2.7142
1,Line,,,,,0.7686,,,,0,0.7686,0.0000,0.0000,12.2425,-2.3972,2.7219,11.4739,-2.3972,2.7219
1,Line,,,,,0.6055,,,,0,0.6055,0.0000,0.0000,10.6123,-2.1511,2.7014,10.0068,-2.1511,2.7014
1,Line,,,,,0.0734,,,,0,0.0734,0.0000,0.0000,11.4739,-2.5206,2.7244,11.4006,-2.5206,2.7244
1,Line,,,,,0.4221,,,,0,0.4221,0.0000,0.0000,11.2447,-1.7533,0.0677,10.8226,-1.7533,0.0677
1,Line,,,,,0.6981,,,,0,0.6981,0.0000,0.0000,11.4622,-1.6516,0.1351,10.7641,-1.6516,0.1351
1,Line,,,,,0.6150,,,,0,0.6150,0.0000,0.0000,10.6218,-2.8288,2.7085,10.0068,-2.8288,2.7085
1,Line,,,,,0.1030,,,,0,0.1030,0.0000,0.0000,10.0068,-2.8288,2.7085,9.9038,-2.8288,2.7085
1,Line,,,,,1.8250,,,,0,1.8250,0.0000,0.0000,9.9038,-2.8288,2.7085,8.0788,-2.8288,2.7085
1,Line,,,,,0.7876,,,,0,0.7876,0.0000,0.0000,11.4094,-2.8288,2.7085,10.6218,-2.8288,2.7085
1,Line,,,,,0.7613,,,,0,0.7613,0.0000,0.0000,11.4009,-2.4589,2.7238,10.6396,-2.4589,2.7238
1,Line,,,,,0.0720,,,,0,0.0720,0.0000,0.0000,11.4739,-2.6441,2.7219,11.4020,-2.6441,2.7219
1,Line,,,,,0.7767,,,,0,0.7767,0.0000,0.0000,11.4062,-2.7673,2.7142,10.6295,-2.7673,2.7142
1,Line,,,,,0.6288,,,,0,0.6288,0.0000,0.0000,10.6356,-2.7057,2.7187,10.0068,-2.7057,2.7187
1,Line,,,,,0.0133,,,,180,-0.0133,0.0000,0.0000,3.4437,-3.0375,1.5837,3.4570,-3.0375,1.5837
1,Line,,,,,9.9907,,,,0,9.9907,0.0000,0.0000,13.4534,-3.0375,0.8452,3.4627,-3.0375,0.8452
1,Line,,,,,0.0035,,,,0,0.0000,0.0000,0.0035,3.4574,-3.0375,2.2442,3.4574,-3.0375,2.2407
1,Line,,,,,0.2905,,,,90,0.0000,0.0000,0.2905,3.4574,-3.0375,0.8452,3.4574,-3.0375,0.5547
1,Line,,,,,1.0770,,,,270,0.0000,-1.0770,0.0000,3.4627,-3.0375,2.2407,3.4627,-1.9605,2.2407
1,Line,,,,,1.0770,,,,270,0.0000,-1.0770,0.0000,3.4627,-3.0375,1.5837,3.4627,-1.9605,1.5837
1,Line,,,,,0.0005,,,,0,0.0005,0.0000,0.0000,3.4574,-3.0375,0.8452,3.4570,-3.0375,0.8452
1,Line,,,,,0.6570,,,,0,0.0000,0.0000,0.6570,3.4627,-1.9605,2.2407,3.4627,-1.9605,1.5837
1,Line,,,,,0.7385,,,,0,0.0000,0.0000,0.7385,3.4570,-3.0375,1.5837,3.4570,-3.0375,0.8452
1,Line,,,,,0.6570,,,,0,0.0000,0.0000,0.6570,3.4570,-3.0375,2.2407,3.4570,-3.0375,1.5837
1,Line,,,,,0.7385,,,,0,0.0000,0.0000,0.7385,3.4627,-3.0375,1.5837,3.4627,-3.0375,0.8452
1,Line,,,,,0.0005,,,,180,-0.0005,0.0000,0.0000,3.4570,-3.0375,0.5547,3.4574,-3.0375,0.5547
1,Line,,,,,0.0005,,,,180,-0.0005,0.0000,0.0000,3.4570,-3.0375,2.2407,3.4574,-3.0375,2.2407
1,Line,,,,,0.6570,,,,0,0.0000,0.0000,0.6570,3.4627,-3.0375,2.2407,3.4627,-3.0375,1.5837
1,Line,,,,,1.0770,,,,270,0.0000,-1.0770,0.0000,3.4627,-3.0375,0.5547,3.4627,-1.9605,0.5547
1,Line,,,,,0.0053,,,,180,-0.0053,0.0000,0.0000,3.4574,-3.0375,0.5547,3.4627,-3.0375,0.5547
1,Line,,,,,0.0053,,,,180,-0.0053,0.0000,0.0000,3.4574,-3.0375,2.2407,3.4627,-3.0375,2.2407
