Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0260,,,,,,,,,,,,,,,,10,-0.0257,-0.0045,0.0000,8.7993,1.7687,2.9774,8.8249,1.7732,2.9774
1,Line,0.0280,,,,,,,,,,,,,,,,10,-0.0246,-0.0043,0.0125,8.7264,0.8808,3.0149,8.7511,0.8852,3.0024
1,Line,0.0260,,,,,,,,,,,,,,,,110,-0.0089,0.0245,0.0000,8.7511,0.8852,3.0024,8.7600,0.8607,3.0024
1,Line,0.0260,,,,,,,,,,,,,,,,110,-0.0089,0.0245,0.0000,8.7511,0.8852,3.0274,8.7600,0.8607,3.0274
1,Line,0.1000,,,,,,,,,,,,,,,,90,0.0000,-0.1000,0.0000,8.7990,1.0482,3.3489,8.7990,1.1482,3.3489
1,Line,0.0280,,,,,,,,,,,,,,,,0,0.0250,0.0000,0.0125,9.9249,1.2982,3.0399,9.8999,1.2982,3.0274
1,Line,0.0260,,,,,,,,,,,,,,,,80,-0.0045,-0.0257,0.0000,9.8954,1.2726,3.0274,9.8999,1.2982,3.0274
1,Line,0.0347,,,,,,,,,,,,,,,,80,-0.0060,-0.0342,0.0000,9.9189,1.2640,3.0149,9.9249,1.2982,3.0149
1,Line,0.0280,,,,,,,,,,,,,,,,140,0.0192,-0.0161,0.0125,9.9015,1.2339,3.0149,9.8824,1.2500,3.0024
1,Line,0.0260,,,,,,,,,,,,,,,,60,-0.0130,-0.0226,0.0000,9.8824,1.2500,3.0024,9.8954,1.2726,3.0024
1,Line,0.0280,,,,,,,,,,,,,,,,160,0.0235,-0.0086,0.0125,9.9189,1.2640,3.0149,9.8954,1.2726,3.0024
1,Line,0.0280,,,,,,,,,,,,,,,,180,0.0250,0.0000,-0.0125,9.9249,1.2982,3.0149,9.8999,1.2982,3.0274
