Count,Name,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
1,Line,,,,,,,,90,0.0000,-1.6336,0.0000,0.5182,25.3587,3.8742,1.6336,0.5182,26.9923,3.8742,,,,,,
1,Line,,,,,,,,0,0.0825,0.0000,0.0000,0.5182,26.9923,3.8742,0.0825,0.4357,26.9923,3.8742,,,,,,
1,Line,,,,,,,,180,-0.0699,0.0000,0.0000,3.3186,-0.0526,2.7343,0.0699,3.3884,-0.0526,2.7343,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.2884,0.5182,15.3450,3.5858,0.2884,0.5182,15.3450,3.8742,,,,,,
1,Line,,,,,,,,0,1.8512,0.0000,0.0000,2.8962,-1.2092,1.7047,1.8512,1.0450,-1.2092,1.7047,,,,,,
1,Line,,,,,,,,90,0.0000,0.5525,0.0000,3.3186,0.4999,2.7343,0.5525,3.3186,-0.0526,2.7343,,,,,,
1,Line,,,,,,,,0,0.0826,0.0000,0.0000,0.5182,11.3679,3.5218,0.0826,0.4357,11.3679,3.5218,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.7525,0.4357,11.3679,2.7693,0.7525,0.4357,11.3679,3.5218,,,,,,
1,Line,,,,,,,,0,0.0826,0.0000,0.0000,0.5182,11.3679,2.7693,0.0826,0.4357,11.3679,2.7693,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.7525,0.5182,11.3679,2.7693,0.7525,0.5182,11.3679,3.5218,,,,,,
1,Line,,,,,,,,90,0.0000,-0.5732,0.0000,0.4357,1.2122,3.9217,0.5732,0.4357,1.7855,3.9217,,,,,,
1,Line,,,,,,,,90,0.0000,-0.7913,0.0000,0.4357,1.1030,4.0270,0.7913,0.4357,1.8943,4.0270,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,1.1811,0.4357,1.7855,3.9217,1.1811,0.4357,1.7855,2.7406,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-1.1811,0.4357,1.2122,2.7406,1.1811,0.4357,1.2122,3.9217,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,0.2884,0.5182,17.0210,3.8742,0.2884,0.5182,17.0210,3.5858,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-1.0679,1.6173,-1.2392,3.0891,1.0679,1.6173,-1.2392,4.1570,,,,,,
1,Line,,,,,,,,0,0.1100,0.0000,0.0000,1.0382,1.6307,1.2341,0.1100,0.9282,1.6307,1.2341,,,,,,
1,Line,,,,,,,,90,0.0000,1.6637,0.0000,3.3059,3.6238,3.5218,1.6637,3.3059,1.9601,3.5218,,,,,,
